"编码ID{id,int}(id,number)","英雄ID{hero_id,int}(hero_id,number)","对应星级{level,int}(level,number)","道具消耗{cost_items,json_funcs}(cost_items,json)","HP{hp,int}(hp,number)","攻击{attack,int}(attack,number)","速度{speed,int}(speed,number)","防守{defense,int}(defense,number)","魔防{magic_defense,int}(magic_defense,number)","技巧{technique,int}(technique,number)","幸运{luck,int}(luck,number)","已装备武器技能{equiped_weapon_skill,int}(equiped_weapon_skill,number)","已装备辅助技能{equiped_support_skill,int}(equiped_support_skill,number)"
20300227,20134307,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,2,3,1,1,2,2,21130002,0
20300228,20134307,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,4,4,5,3,21130007,0
20300229,20134307,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,6,7,5,5,6,4,21130007,0
20300230,20134307,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",8,8,9,7,8,8,6,21130008,0
20300231,20123202,1,[],0,0,0,0,0,0,0,21120001,0
20300232,20123202,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",1,3,1,3,0,3,1,21120002,0
20300233,20123202,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",4,5,4,5,2,6,3,21120013,0
20300234,20123202,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",5,7,5,7,3,8,4,21120013,0
20300235,20123202,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",8,9,7,9,4,10,6,21120014,0
20300236,20141502,1,[],0,0,0,0,0,0,0,21150001,0
20300237,20141502,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,1,2,2,1,1,2,21150002,0
20300238,20141502,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,3,4,4,21150009,0
20300239,20141502,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,5,6,6,4,5,6,21150009,0
20300240,20141502,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",8,7,8,8,6,6,7,21150010,0
20300241,20132301,1,[],0,0,0,0,0,0,0,21130001,0
20300242,20132301,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",2,3,1,2,1,2,2,21130002,0
20300243,20132301,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",5,5,3,4,4,5,4,21130003,0
20300244,20132301,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",6,7,4,6,5,6,5,21130003,0
20300245,20132301,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",9,9,6,8,7,9,7,21130004,0
20300246,20111113,1,[],0,0,0,0,0,0,0,21110001,0
20300247,20111113,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,3,1,3,1,3,1,21110002,0
20300248,20111113,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,5,4,5,3,6,4,21110003,0
20300249,20111113,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,7,5,7,4,8,5,21110003,0
20300250,20111113,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,9,8,9,6,10,6,21110053,0
20300251,20141503,1,[],0,0,0,0,0,0,0,21150001,0
20300252,20141503,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,1,3,2,1,1,2,21150002,0
20300253,20141503,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,3,3,3,4,21150013,0
20300254,20141503,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,5,7,5,4,4,6,21150013,0
20300255,20141503,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",8,8,9,6,6,5,7,21150014,0
20300256,20123203,1,[],0,0,0,0,0,0,0,21120001,0
20300257,20123203,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",1,2,1,2,1,3,1,21120002,0
20300258,20123203,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",4,4,3,4,3,6,3,21120003,0
20300259,20123203,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",5,6,4,6,4,8,4,21120003,0
20300260,20123203,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",8,8,6,8,6,10,7,21120004,0
20300261,20132302,1,[],0,0,0,0,0,0,0,21130001,0
20300262,20132302,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",2,2,1,3,1,2,2,21130002,0
20300263,20132302,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",5,4,4,5,4,5,3,21130007,0
20300264,20132302,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",6,6,5,7,5,6,4,21130007,0
20300265,20132302,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",9,8,7,9,8,9,6,21130008,0
20300266,20121201,1,[],0,0,0,0,0,0,0,21120001,0
20300267,20121201,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",1,2,3,1,1,3,1,21120002,0
20300268,20121201,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,3,4,6,3,21120003,0
20300269,20121201,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",5,6,7,4,5,8,4,21120003,0
20300270,20121201,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",8,8,9,6,8,10,7,21120045,0
20300271,20113101,1,[],0,0,0,0,0,0,0,21110001,0
20300272,20113101,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,3,2,2,1,3,1,21110002,0
20300273,20113101,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,5,4,5,3,6,4,21110007,0
20300274,20113101,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,7,6,6,4,8,5,21110007,0
20300275,20113101,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,9,8,9,6,10,7,21110026,0
20300276,20141504,1,[],0,0,0,0,0,0,0,21150001,0
20300277,20141504,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,2,2,1,1,1,2,21150002,0
20300278,20141504,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,3,4,5,21150003,0
20300279,20141504,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,6,6,5,4,5,7,21150003,0
20300280,20141504,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",8,7,8,7,6,7,8,21150029,0
20300281,20121202,1,[],0,0,0,0,0,0,0,21120001,0
20300282,20121202,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",2,3,1,3,1,3,1,21120002,0
20300283,20121202,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",5,5,4,5,3,6,3,21120003,0
20300284,20121202,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",6,7,5,7,4,8,4,21120003,0
20300285,20121202,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",9,9,8,9,6,10,6,21120044,0
20300286,20133301,1,[],0,0,0,0,0,0,0,21130001,0
20300287,20133301,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,2,2,2,1,3,2,21130002,0
20300288,20133301,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,5,4,4,3,6,3,21130005,0
20300289,20133301,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,6,6,6,4,7,4,21130005,0
20300290,20133301,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",8,9,8,8,6,10,6,21130006,0
20300291,20113102,1,[],0,0,0,0,0,0,0,21110001,0
20300292,20113102,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,2,2,2,2,3,1,21110002,0
20300293,20113102,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,4,3,6,4,21110005,0
20300294,20113102,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,6,6,6,5,8,5,21110005,0
20300295,20113102,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,8,9,7,6,10,7,21110006,0
20300296,20141505,1,[],0,0,0,0,0,0,0,21150001,0
20300297,20141505,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,2,2,1,1,1,2,21150002,0
20300298,20141505,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,4,4,5,21150003,0
20300299,20141505,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,6,6,5,5,5,7,21150003,0
20300300,20141505,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",8,8,8,7,7,6,9,21150004,0
20300301,20113103,1,[],0,0,0,0,0,0,0,21110001,0
20300302,20113103,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,3,2,2,1,2,1,21110002,0
20300303,20113103,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,5,4,5,3,5,4,21110003,0
20300304,20113103,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,7,6,6,4,7,5,21110003,0
20300305,20113103,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,9,8,9,6,9,6,21110040,0
20300306,20133302,1,[],0,0,0,0,0,0,0,21130001,0
20300307,20133302,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,3,1,1,2,2,2,21130002,0
20300308,20133302,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,5,3,4,3,5,3,21130027,0
20300309,20133302,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,7,4,5,5,6,4,21130027,0
20300310,20133302,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",8,9,6,8,6,9,6,21130028,0
20300311,20121203,1,[],0,0,0,0,0,0,0,21120001,0
20300312,20121203,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",1,2,3,1,2,3,1,21120002,0
20300313,20121203,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",4,5,5,3,4,6,3,21120003,0
20300314,20121203,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",5,6,7,4,6,8,4,21120003,0
20300315,20121203,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",7,9,9,6,8,10,7,21120046,0
20300316,20141506,1,[],0,0,0,0,0,0,0,21150001,0
20300317,20141506,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,3,2,1,1,1,2,21150002,0
20300318,20141506,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",3,5,4,3,4,3,5,21150007,0
20300319,20141506,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",4,7,6,4,5,4,7,21150007,0
20300320,20141506,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",6,9,8,6,8,5,9,21150008,0
20300321,20121204,1,[],0,0,0,0,0,0,0,21120001,0
20300322,20121204,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",2,2,2,1,1,2,1,21120002,0
20300323,20121204,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",5,4,4,4,3,5,3,21120005,0
20300324,20121204,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",6,6,6,5,4,7,4,21120005,0
20300325,20121204,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",9,8,8,8,6,9,6,21120006,0
20300326,20133303,1,[],0,0,0,0,0,0,0,21130001,0
20300327,20133303,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,2,2,1,1,3,2,21130002,0
20300328,20133303,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,3,6,4,21130003,0
20300329,20133303,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,6,6,5,4,7,5,21130003,0
20300330,20133303,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",8,8,8,8,6,10,8,21130045,0
20300331,20113104,1,[],0,0,0,0,0,0,0,21110001,0
20300332,20113104,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",2,2,1,3,1,2,1,21110002,0
20300333,20113104,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",5,4,4,5,3,5,4,21110007,0
20300334,20113104,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",6,6,5,7,4,7,5,21110007,0
20300335,20113104,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",9,8,7,9,6,9,7,21110025,0
20300336,20141507,1,[],0,0,0,0,0,0,0,21150001,0
20300337,20141507,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,1,3,1,3,1,2,21150002,0
20300338,20141507,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",3,4,5,3,5,4,5,21150011,0
20300339,20141507,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",4,5,7,4,7,5,7,21150011,0
20300340,20141507,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",6,8,9,6,9,6,9,21150012,0
20300341,20121205,1,[],0,0,0,0,0,0,0,21120001,0
20300342,20121205,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",1,2,1,1,2,2,1,21120002,0
20300343,20121205,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",4,4,3,4,4,5,3,21120007,0
20300344,20121205,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",5,6,4,5,6,7,4,21120007,0
20300345,20121205,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",8,8,6,8,8,9,7,21120008,0
20300346,20113105,1,[],0,0,0,0,0,0,0,21110001,0
20300347,20113105,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,1,2,1,2,2,1,21110002,0
20300348,20113105,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,3,4,5,4,21110003,0
20300349,20113105,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,5,6,4,6,7,5,21110003,0
20300350,20113105,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,8,8,6,8,9,7,21110045,0
20300351,20133304,1,[],0,0,0,0,0,0,0,21130001,0
20300352,20133304,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",2,2,1,2,1,3,2,21130002,0
20300353,20133304,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",5,4,4,4,3,6,4,21130003,0
20300354,20133304,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",6,6,5,6,4,7,5,21130003,0
20300355,20133304,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",9,8,7,8,6,10,7,21130004,0
20300356,20141801,1,[],0,0,0,0,0,0,0,0,21401001
20300357,20141801,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,1,2,1,2,2,2,0,21401001
20300358,20141801,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,4,4,5,0,21401002
20300359,20141801,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,5,6,5,6,5,7,0,21401008
20300360,20141801,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",7,8,8,7,8,7,9,0,21401009
20300361,20131701,1,[],0,0,0,0,0,0,0,21170001,0
20300362,20131701,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",2,3,1,2,2,2,2,21170002,0
20300363,20131701,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",5,5,4,4,4,4,3,21170009,0
20300364,20131701,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",6,7,5,6,6,6,5,21170009,0
20300365,20131701,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",9,9,8,8,8,7,6,21170010,0
20300366,20121206,1,[],0,0,0,0,0,0,0,21120001,0
20300367,20121206,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",2,3,1,3,1,2,1,21120002,0
20300368,20121206,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",5,5,3,5,4,5,3,21120003,0
20300369,20121206,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",6,7,4,7,5,7,4,21120003,0
20300370,20121206,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",9,9,6,9,7,9,6,21120047,0
20300371,20113106,1,[],0,0,0,0,0,0,0,21110001,0
20300372,20113106,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,2,1,2,1,2,1,21110002,0
20300373,20113106,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,3,5,3,21110015,0
20300374,20113106,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,6,5,6,4,7,4,21110015,0
20300375,20113106,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",7,8,8,8,6,8,5,21110016,0
20300376,20141802,1,[],0,0,0,0,0,0,0,0,21401001
20300377,20141802,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,1,2,1,2,1,2,0,21401001
20300378,20141802,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",3,4,4,3,4,3,5,0,21401002
20300379,20141802,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",4,5,6,4,6,4,7,0,21401006
20300380,20141802,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",6,8,8,6,8,6,8,0,21401007
20300381,20112101,1,[],0,0,0,0,0,0,0,21110001,0
20300382,20112101,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",2,3,1,3,2,2,1,21110002,0
20300383,20112101,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",5,5,3,5,3,5,4,21110005,0
20300384,20112101,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",7,7,4,7,5,7,5,21110005,0
20300385,20112101,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",10,9,6,9,6,9,6,21110006,0
20300386,20121701,1,[],0,0,0,0,0,0,0,21170001,0
20300387,20121701,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",2,2,1,2,2,2,2,21170002,0
20300388,20121701,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",5,5,4,4,4,3,4,21170005,0
20300389,20121701,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",6,6,5,6,6,5,6,21170005,0
20300390,20121701,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",9,9,8,7,8,6,7,21170006,0
20300391,20131702,1,[],0,0,0,0,0,0,0,21170001,0
20300392,20131702,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",2,1,3,2,2,3,2,21170002,0
20300393,20131702,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",5,4,5,3,4,5,4,21170005,0
20300394,20131702,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",6,5,7,5,6,7,6,21170005,0
20300395,20131702,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",9,7,9,6,8,9,7,21170006,0
20300396,20141803,1,[],0,0,0,0,0,0,0,0,21401001
20300397,20141803,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,2,2,1,2,1,2,0,21401001
20300398,20141803,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,5,3,3,4,3,5,0,21401002
20300399,20141803,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,6,5,4,6,4,7,0,21401008
20300400,20141803,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",8,9,6,6,8,5,9,0,21401009
20300401,20112102,1,[],0,0,0,0,0,0,0,21110001,0
20300402,20112102,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",2,2,2,3,1,2,1,21110002,0
20300403,20112102,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",5,4,5,5,3,5,3,21110003,0
20300404,20112102,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",6,6,6,7,4,7,4,21110003,0
20300405,20112102,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",9,8,9,9,6,9,5,21110054,0
20300406,20124701,1,[],0,0,0,0,0,0,0,21170001,0
20300407,20124701,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",2,3,1,2,2,2,2,21170001,0
20300408,20124701,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",5,5,4,6,4,4,4,21170002,0
20300409,20124701,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",6,7,5,8,6,6,6,21170002,0
20300410,20124701,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",9,9,7,11,8,8,7,21170012,0
20300411,20141804,1,[],0,0,0,0,0,0,0,0,21401001
20300412,20141804,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,2,1,2,2,1,2,0,21401001
20300413,20141804,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,4,3,5,0,21401003
20300414,20141804,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,6,5,6,6,4,7,0,21401010
20300415,20141804,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",8,7,7,8,8,6,8,0,21401011
20300416,20133601,1,[],0,0,0,0,0,0,0,21160032,0
20300417,20133601,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,2,1,1,2,1,2,21160032,0
20300418,20133601,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,4,3,4,3,3,4,21160034,0
20300419,20133601,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,6,4,5,5,4,6,21160034,0
20300420,20133601,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",8,8,6,8,6,6,9,21160068,0
20300421,20112103,1,[],0,0,0,0,0,0,0,21110001,0
20300422,20112103,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",2,2,2,3,1,2,1,21110002,0
20300423,20112103,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",5,4,5,5,3,5,4,21110005,0
20300424,20112103,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",6,6,6,7,4,7,5,21110005,0
20300425,20112103,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",9,8,9,9,6,9,7,21110006,0
20300426,20141805,1,[],0,0,0,0,0,0,0,0,21401001
20300427,20141805,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,2,2,0,3,1,2,0,21401001
20300428,20141805,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,5,4,2,5,2,5,0,21401003
20300429,20141805,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,6,6,3,7,3,7,0,21401012
20300430,20141805,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",7,9,8,4,9,4,8,0,21401013
20300431,20133602,1,[],0,0,0,0,0,0,0,21160032,0
20300432,20133602,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,2,3,1,1,1,2,21160032,0
20300433,20133602,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",3,4,5,3,4,3,4,21160034,0
20300434,20133602,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",4,6,7,4,5,4,6,21160034,0
20300435,20133602,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",6,7,9,6,8,7,9,21160068,0
20300436,20123601,1,[],0,0,0,0,0,0,0,21160072,0
20300437,20123601,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",1,2,1,1,2,1,3,21160073,0
20300438,20123601,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,3,4,2,5,21160078,0
20300439,20123601,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",5,6,5,4,6,3,7,21160078,0
20300440,20123601,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",7,8,7,6,8,5,10,21160079,0
20300441,20112104,1,[],0,0,0,0,0,0,0,21110001,0
20300442,20112104,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,3,2,3,1,2,1,21110002,0
20300443,20112104,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,5,5,5,3,5,4,21110003,0
20300444,20112104,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,7,6,7,4,7,5,21110003,0
20300445,20112104,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,9,9,9,6,9,7,21110054,0
20300446,20133603,1,[],0,0,0,0,0,0,0,21160036,0
20300447,20133603,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,2,1,1,2,1,2,21160036,0
20300448,20133603,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",3,4,4,3,4,3,4,21160038,0
20300449,20133603,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",4,6,5,4,6,4,6,21160038,0
20300450,20133603,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",6,8,8,6,8,6,9,21160067,0
20300451,20123602,1,[],0,0,0,0,0,0,0,21160072,0
20300452,20123602,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",1,2,2,1,2,1,3,21160073,0
20300453,20123602,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,3,4,3,5,21160074,0
20300454,20123602,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",5,6,6,4,6,4,7,21160074,0
20300455,20123602,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",8,8,8,6,7,7,10,21160102,0
20300456,20143801,1,[],0,0,0,0,0,0,0,0,21401001
