"±àÂëID{id,int}(id,number)","Ó¢ÐÛ±àÂë{hero_id,int}(hero_id,number)","Í»ÆÆ´ÎÊý{level,int}(level,number)","Í»ÆÆÏûºÄ{stage_costs,json_funcs}(stage_costs,json)","ÑªÁ¿{hp,int}(hp,number)","¹¥»÷{attack,int}(attack,number)","·ÀÓù{defense,int}(defense,number)","Ä§·À{magic_defense,int}(magic_defense,number)","ËÙ¶È{speed,int}(speed,number)","¼¼ÇÉ{technique,int}(technique,number)","ÐÒÔË{luck,int}(luck,number)"
20400306,20134303,6,"[{type:3,param:20134303,value:-1}]",8,6,4,4,4,6,4
20400307,20134303,7,"[{type:3,param:20134303,value:-1}]",10,6,6,4,6,6,4
20400308,20134303,8,"[{type:3,param:20134303,value:-1}]",10,8,6,6,6,8,4
20400309,20134303,9,"[{type:3,param:20134303,value:-1}]",10,8,8,6,6,8,6
20400310,20134303,10,"[{type:3,param:20134303,value:-1}]",12,8,8,8,8,8,8
20400311,20141408,1,"[{type:3,param:20141408,value:-1}]",2,2,0,0,0,2,0
20400312,20141408,2,"[{type:3,param:20141408,value:-1}]",4,2,2,0,2,2,0
20400313,20141408,3,"[{type:3,param:20141408,value:-1}]",4,4,2,2,2,4,0
20400314,20141408,4,"[{type:3,param:20141408,value:-1}]",4,4,4,2,4,4,2
20400315,20141408,5,"[{type:3,param:20141408,value:-1}]",6,4,4,4,4,4,4
20400316,20141408,6,"[{type:3,param:20141408,value:-1}]",8,6,4,4,4,6,4
20400317,20141408,7,"[{type:3,param:20141408,value:-1}]",10,6,6,4,6,6,4
20400318,20141408,8,"[{type:3,param:20141408,value:-1}]",10,8,6,6,6,8,4
20400319,20141408,9,"[{type:3,param:20141408,value:-1}]",10,8,8,6,6,8,6
20400320,20141408,10,"[{type:3,param:20141408,value:-1}]",12,8,8,8,8,8,8
20400321,20111109,1,"[{type:3,param:20111109,value:-1}]",2,2,0,0,0,2,0
20400322,20111109,2,"[{type:3,param:20111109,value:-1}]",4,2,2,0,2,2,0
20400323,20111109,3,"[{type:3,param:20111109,value:-1}]",4,4,2,2,2,4,0
20400324,20111109,4,"[{type:3,param:20111109,value:-1}]",4,4,4,2,4,4,2
20400325,20111109,5,"[{type:3,param:20111109,value:-1}]",6,4,4,4,4,4,4
20400326,20111109,6,"[{type:3,param:20111109,value:-1}]",8,6,4,4,4,6,4
20400327,20111109,7,"[{type:3,param:20111109,value:-1}]",10,6,6,4,6,6,4
20400328,20111109,8,"[{type:3,param:20111109,value:-1}]",10,8,6,6,6,8,4
20400329,20111109,9,"[{type:3,param:20111109,value:-1}]",10,8,8,6,6,8,6
20400330,20111109,10,"[{type:3,param:20111109,value:-1}]",12,8,8,8,8,8,8
20400331,20134304,1,"[{type:3,param:20134304,value:-1}]",2,2,0,0,0,2,0
20400332,20134304,2,"[{type:3,param:20134304,value:-1}]",4,2,2,0,2,2,0
20400333,20134304,3,"[{type:3,param:20134304,value:-1}]",4,4,2,2,2,4,0
20400334,20134304,4,"[{type:3,param:20134304,value:-1}]",4,4,4,2,4,4,2
20400335,20134304,5,"[{type:3,param:20134304,value:-1}]",6,4,4,4,4,4,4
20400336,20134304,6,"[{type:3,param:20134304,value:-1}]",8,6,4,4,4,6,4
20400337,20134304,7,"[{type:3,param:20134304,value:-1}]",10,6,6,4,6,6,4
20400338,20134304,8,"[{type:3,param:20134304,value:-1}]",10,8,6,6,6,8,4
20400339,20134304,9,"[{type:3,param:20134304,value:-1}]",10,8,8,6,6,8,6
20400340,20134304,10,"[{type:3,param:20134304,value:-1}]",12,8,8,8,8,8,8
20400341,20124206,1,"[{type:3,param:20124206,value:-1}]",2,2,0,0,0,2,0
20400342,20124206,2,"[{type:3,param:20124206,value:-1}]",4,2,2,0,2,2,0
20400343,20124206,3,"[{type:3,param:20124206,value:-1}]",4,4,2,2,2,4,0
20400344,20124206,4,"[{type:3,param:20124206,value:-1}]",4,4,4,2,4,4,2
20400345,20124206,5,"[{type:3,param:20124206,value:-1}]",6,4,4,4,4,4,4
20400346,20124206,6,"[{type:3,param:20124206,value:-1}]",8,6,4,4,4,6,4
20400347,20124206,7,"[{type:3,param:20124206,value:-1}]",10,6,6,4,6,6,4
20400348,20124206,8,"[{type:3,param:20124206,value:-1}]",10,8,6,6,6,8,4
20400349,20124206,9,"[{type:3,param:20124206,value:-1}]",10,8,8,6,6,8,6
20400350,20124206,10,"[{type:3,param:20124206,value:-1}]",12,8,8,8,8,8,8
20400351,20141409,1,"[{type:3,param:20141409,value:-1}]",2,2,0,0,0,2,0
20400352,20141409,2,"[{type:3,param:20141409,value:-1}]",4,2,2,0,2,2,0
20400353,20141409,3,"[{type:3,param:20141409,value:-1}]",4,4,2,2,2,4,0
20400354,20141409,4,"[{type:3,param:20141409,value:-1}]",4,4,4,2,4,4,2
20400355,20141409,5,"[{type:3,param:20141409,value:-1}]",6,4,4,4,4,4,4
20400356,20141409,6,"[{type:3,param:20141409,value:-1}]",8,6,4,4,4,6,4
20400357,20141409,7,"[{type:3,param:20141409,value:-1}]",10,6,6,4,6,6,4
20400358,20141409,8,"[{type:3,param:20141409,value:-1}]",10,8,6,6,6,8,4
20400359,20141409,9,"[{type:3,param:20141409,value:-1}]",10,8,8,6,6,8,6
20400360,20141409,10,"[{type:3,param:20141409,value:-1}]",12,8,8,8,8,8,8
20400361,20111110,1,"[{type:3,param:20111110,value:-1}]",2,2,0,0,0,2,0
20400362,20111110,2,"[{type:3,param:20111110,value:-1}]",4,2,2,0,2,2,0
20400363,20111110,3,"[{type:3,param:20111110,value:-1}]",4,4,2,2,2,4,0
20400364,20111110,4,"[{type:3,param:20111110,value:-1}]",4,4,4,2,4,4,2
20400365,20111110,5,"[{type:3,param:20111110,value:-1}]",6,4,4,4,4,4,4
20400366,20111110,6,"[{type:3,param:20111110,value:-1}]",8,6,4,4,4,6,4
20400367,20111110,7,"[{type:3,param:20111110,value:-1}]",10,6,6,4,6,6,4
20400368,20111110,8,"[{type:3,param:20111110,value:-1}]",10,8,6,6,6,8,4
20400369,20111110,9,"[{type:3,param:20111110,value:-1}]",10,8,8,6,6,8,6
20400370,20111110,10,"[{type:3,param:20111110,value:-1}]",12,8,8,8,8,8,8
20400371,20124207,1,"[{type:3,param:20124207,value:-1}]",2,2,0,0,0,2,0
20400372,20124207,2,"[{type:3,param:20124207,value:-1}]",4,2,2,0,2,2,0
20400373,20124207,3,"[{type:3,param:20124207,value:-1}]",4,4,2,2,2,4,0
20400374,20124207,4,"[{type:3,param:20124207,value:-1}]",4,4,4,2,4,4,2
20400375,20124207,5,"[{type:3,param:20124207,value:-1}]",6,4,4,4,4,4,4
20400376,20124207,6,"[{type:3,param:20124207,value:-1}]",8,6,4,4,4,6,4
20400377,20124207,7,"[{type:3,param:20124207,value:-1}]",10,6,6,4,6,6,4
20400378,20124207,8,"[{type:3,param:20124207,value:-1}]",10,8,6,6,6,8,4
20400379,20124207,9,"[{type:3,param:20124207,value:-1}]",10,8,8,6,6,8,6
20400380,20124207,10,"[{type:3,param:20124207,value:-1}]",12,8,8,8,8,8,8
20400381,20134305,1,"[{type:3,param:20134305,value:-1}]",2,2,0,0,0,2,0
20400382,20134305,2,"[{type:3,param:20134305,value:-1}]",4,2,2,0,2,2,0
20400383,20134305,3,"[{type:3,param:20134305,value:-1}]",4,4,2,2,2,4,0
20400384,20134305,4,"[{type:3,param:20134305,value:-1}]",4,4,4,2,4,4,2
20400385,20134305,5,"[{type:3,param:20134305,value:-1}]",6,4,4,4,4,4,4
20400386,20134305,6,"[{type:3,param:20134305,value:-1}]",8,6,4,4,4,6,4
20400387,20134305,7,"[{type:3,param:20134305,value:-1}]",10,6,6,4,6,6,4
20400388,20134305,8,"[{type:3,param:20134305,value:-1}]",10,8,6,6,6,8,4
20400389,20134305,9,"[{type:3,param:20134305,value:-1}]",10,8,8,6,6,8,6
20400390,20134305,10,"[{type:3,param:20134305,value:-1}]",12,8,8,8,8,8,8
20400391,20143401,1,"[{type:3,param:20143401,value:-1}]",2,2,0,0,0,2,0
20400392,20143401,2,"[{type:3,param:20143401,value:-1}]",4,2,2,0,2,2,0
20400393,20143401,3,"[{type:3,param:20143401,value:-1}]",4,4,2,2,2,4,0
20400394,20143401,4,"[{type:3,param:20143401,value:-1}]",4,4,4,2,4,4,2
20400395,20143401,5,"[{type:3,param:20143401,value:-1}]",6,4,4,4,4,4,4
20400396,20143401,6,"[{type:3,param:20143401,value:-1}]",8,6,4,4,4,6,4
20400397,20143401,7,"[{type:3,param:20143401,value:-1}]",10,6,6,4,6,6,4
20400398,20143401,8,"[{type:3,param:20143401,value:-1}]",10,8,6,6,6,8,4
20400399,20143401,9,"[{type:3,param:20143401,value:-1}]",10,8,8,6,6,8,6
20400400,20143401,10,"[{type:3,param:20143401,value:-1}]",12,8,8,8,8,8,8
20400401,20111111,1,"[{type:3,param:20111111,value:-1}]",2,2,0,0,0,2,0
20400402,20111111,2,"[{type:3,param:20111111,value:-1}]",4,2,2,0,2,2,0
20400403,20111111,3,"[{type:3,param:20111111,value:-1}]",4,4,2,2,2,4,0
20400404,20111111,4,"[{type:3,param:20111111,value:-1}]",4,4,4,2,4,4,2
20400405,20111111,5,"[{type:3,param:20111111,value:-1}]",6,4,4,4,4,4,4
20400406,20111111,6,"[{type:3,param:20111111,value:-1}]",8,6,4,4,4,6,4
20400407,20111111,7,"[{type:3,param:20111111,value:-1}]",10,6,6,4,6,6,4
20400408,20111111,8,"[{type:3,param:20111111,value:-1}]",10,8,6,6,6,8,4
20400409,20111111,9,"[{type:3,param:20111111,value:-1}]",10,8,8,6,6,8,6
20400410,20111111,10,"[{type:3,param:20111111,value:-1}]",12,8,8,8,8,8,8
20400411,20134306,1,"[{type:3,param:20134306,value:-1}]",2,2,0,0,0,2,0
20400412,20134306,2,"[{type:3,param:20134306,value:-1}]",4,2,2,0,2,2,0
20400413,20134306,3,"[{type:3,param:20134306,value:-1}]",4,4,2,2,2,4,0
20400414,20134306,4,"[{type:3,param:20134306,value:-1}]",4,4,4,2,4,4,2
20400415,20134306,5,"[{type:3,param:20134306,value:-1}]",6,4,4,4,4,4,4
20400416,20134306,6,"[{type:3,param:20134306,value:-1}]",8,6,4,4,4,6,4
20400417,20134306,7,"[{type:3,param:20134306,value:-1}]",10,6,6,4,6,6,4
20400418,20134306,8,"[{type:3,param:20134306,value:-1}]",10,8,6,6,6,8,4
20400419,20134306,9,"[{type:3,param:20134306,value:-1}]",10,8,8,6,6,8,6
20400420,20134306,10,"[{type:3,param:20134306,value:-1}]",12,8,8,8,8,8,8
20400421,20123201,1,"[{type:3,param:20123201,value:-1}]",2,2,0,0,0,2,0
20400422,20123201,2,"[{type:3,param:20123201,value:-1}]",4,2,2,0,2,2,0
20400423,20123201,3,"[{type:3,param:20123201,value:-1}]",4,4,2,2,2,4,0
20400424,20123201,4,"[{type:3,param:20123201,value:-1}]",4,4,4,2,4,4,2
20400425,20123201,5,"[{type:3,param:20123201,value:-1}]",6,4,4,4,4,4,4
20400426,20123201,6,"[{type:3,param:20123201,value:-1}]",8,6,4,4,4,6,4
20400427,20123201,7,"[{type:3,param:20123201,value:-1}]",10,6,6,4,6,6,4
20400428,20123201,8,"[{type:3,param:20123201,value:-1}]",10,8,6,6,6,8,4
20400429,20123201,9,"[{type:3,param:20123201,value:-1}]",10,8,8,6,6,8,6
20400430,20123201,10,"[{type:3,param:20123201,value:-1}]",12,8,8,8,8,8,8
20400431,20141501,1,"[{type:3,param:20141501,value:-1}]",2,2,0,0,0,2,0
20400432,20141501,2,"[{type:3,param:20141501,value:-1}]",4,2,2,0,2,2,0
20400433,20141501,3,"[{type:3,param:20141501,value:-1}]",4,4,2,2,2,4,0
20400434,20141501,4,"[{type:3,param:20141501,value:-1}]",4,4,4,2,4,4,2
20400435,20141501,5,"[{type:3,param:20141501,value:-1}]",6,4,4,4,4,4,4
20400436,20141501,6,"[{type:3,param:20141501,value:-1}]",8,6,4,4,4,6,4
20400437,20141501,7,"[{type:3,param:20141501,value:-1}]",10,6,6,4,6,6,4
20400438,20141501,8,"[{type:3,param:20141501,value:-1}]",10,8,6,6,6,8,4
20400439,20141501,9,"[{type:3,param:20141501,value:-1}]",10,8,8,6,6,8,6
20400440,20141501,10,"[{type:3,param:20141501,value:-1}]",12,8,8,8,8,8,8
20400441,20111112,1,"[{type:3,param:20111112,value:-1}]",2,2,0,0,0,2,0
20400442,20111112,2,"[{type:3,param:20111112,value:-1}]",4,2,2,0,2,2,0
20400443,20111112,3,"[{type:3,param:20111112,value:-1}]",4,4,2,2,2,4,0
20400444,20111112,4,"[{type:3,param:20111112,value:-1}]",4,4,4,2,4,4,2
20400445,20111112,5,"[{type:3,param:20111112,value:-1}]",6,4,4,4,4,4,4
20400446,20111112,6,"[{type:3,param:20111112,value:-1}]",8,6,4,4,4,6,4
20400447,20111112,7,"[{type:3,param:20111112,value:-1}]",10,6,6,4,6,6,4
20400448,20111112,8,"[{type:3,param:20111112,value:-1}]",10,8,6,6,6,8,4
20400449,20111112,9,"[{type:3,param:20111112,value:-1}]",10,8,8,6,6,8,6
20400450,20111112,10,"[{type:3,param:20111112,value:-1}]",12,8,8,8,8,8,8
20400451,20134307,1,"[{type:3,param:20134307,value:-1}]",2,2,0,0,0,2,0
20400452,20134307,2,"[{type:3,param:20134307,value:-1}]",4,2,2,0,2,2,0
20400453,20134307,3,"[{type:3,param:20134307,value:-1}]",4,4,2,2,2,4,0
20400454,20134307,4,"[{type:3,param:20134307,value:-1}]",4,4,4,2,4,4,2
20400455,20134307,5,"[{type:3,param:20134307,value:-1}]",6,4,4,4,4,4,4
20400456,20134307,6,"[{type:3,param:20134307,value:-1}]",8,6,4,4,4,6,4
20400457,20134307,7,"[{type:3,param:20134307,value:-1}]",10,6,6,4,6,6,4
20400458,20134307,8,"[{type:3,param:20134307,value:-1}]",10,8,6,6,6,8,4
20400459,20134307,9,"[{type:3,param:20134307,value:-1}]",10,8,8,6,6,8,6
20400460,20134307,10,"[{type:3,param:20134307,value:-1}]",12,8,8,8,8,8,8
20400461,20123202,1,"[{type:3,param:20123202,value:-1}]",2,2,0,0,0,2,0
20400462,20123202,2,"[{type:3,param:20123202,value:-1}]",4,2,2,0,2,2,0
20400463,20123202,3,"[{type:3,param:20123202,value:-1}]",4,4,2,2,2,4,0
20400464,20123202,4,"[{type:3,param:20123202,value:-1}]",4,4,4,2,4,4,2
20400465,20123202,5,"[{type:3,param:20123202,value:-1}]",6,4,4,4,4,4,4
20400466,20123202,6,"[{type:3,param:20123202,value:-1}]",8,6,4,4,4,6,4
20400467,20123202,7,"[{type:3,param:20123202,value:-1}]",10,6,6,4,6,6,4
20400468,20123202,8,"[{type:3,param:20123202,value:-1}]",10,8,6,6,6,8,4
20400469,20123202,9,"[{type:3,param:20123202,value:-1}]",10,8,8,6,6,8,6
20400470,20123202,10,"[{type:3,param:20123202,value:-1}]",12,8,8,8,8,8,8
20400471,20141502,1,"[{type:3,param:20141502,value:-1}]",2,2,0,0,0,2,0
20400472,20141502,2,"[{type:3,param:20141502,value:-1}]",4,2,2,0,2,2,0
20400473,20141502,3,"[{type:3,param:20141502,value:-1}]",4,4,2,2,2,4,0
20400474,20141502,4,"[{type:3,param:20141502,value:-1}]",4,4,4,2,4,4,2
20400475,20141502,5,"[{type:3,param:20141502,value:-1}]",6,4,4,4,4,4,4
20400476,20141502,6,"[{type:3,param:20141502,value:-1}]",8,6,4,4,4,6,4
20400477,20141502,7,"[{type:3,param:20141502,value:-1}]",10,6,6,4,6,6,4
20400478,20141502,8,"[{type:3,param:20141502,value:-1}]",10,8,6,6,6,8,4
20400479,20141502,9,"[{type:3,param:20141502,value:-1}]",10,8,8,6,6,8,6
20400480,20141502,10,"[{type:3,param:20141502,value:-1}]",12,8,8,8,8,8,8
20400481,20132301,1,"[{type:3,param:20132301,value:-1}]",2,2,0,0,0,2,0
20400482,20132301,2,"[{type:3,param:20132301,value:-1}]",4,2,2,0,2,2,0
20400483,20132301,3,"[{type:3,param:20132301,value:-1}]",4,4,2,2,2,4,0
20400484,20132301,4,"[{type:3,param:20132301,value:-1}]",4,4,4,2,4,4,2
20400485,20132301,5,"[{type:3,param:20132301,value:-1}]",6,4,4,4,4,4,4
20400486,20132301,6,"[{type:3,param:20132301,value:-1}]",8,6,4,4,4,6,4
20400487,20132301,7,"[{type:3,param:20132301,value:-1}]",10,6,6,4,6,6,4
20400488,20132301,8,"[{type:3,param:20132301,value:-1}]",10,8,6,6,6,8,4
20400489,20132301,9,"[{type:3,param:20132301,value:-1}]",10,8,8,6,6,8,6
20400490,20132301,10,"[{type:3,param:20132301,value:-1}]",12,8,8,8,8,8,8
20400491,20111113,1,"[{type:3,param:20111113,value:-1}]",2,2,0,0,0,2,0
20400492,20111113,2,"[{type:3,param:20111113,value:-1}]",4,2,2,0,2,2,0
20400493,20111113,3,"[{type:3,param:20111113,value:-1}]",4,4,2,2,2,4,0
20400494,20111113,4,"[{type:3,param:20111113,value:-1}]",4,4,4,2,4,4,2
20400495,20111113,5,"[{type:3,param:20111113,value:-1}]",6,4,4,4,4,4,4
20400496,20111113,6,"[{type:3,param:20111113,value:-1}]",8,6,4,4,4,6,4
20400497,20111113,7,"[{type:3,param:20111113,value:-1}]",10,6,6,4,6,6,4
20400498,20111113,8,"[{type:3,param:20111113,value:-1}]",10,8,6,6,6,8,4
20400499,20111113,9,"[{type:3,param:20111113,value:-1}]",10,8,8,6,6,8,6
20400500,20111113,10,"[{type:3,param:20111113,value:-1}]",12,8,8,8,8,8,8
20400501,20141503,1,"[{type:3,param:20141503,value:-1}]",2,2,0,0,0,2,0
20400502,20141503,2,"[{type:3,param:20141503,value:-1}]",4,2,2,0,2,2,0
20400503,20141503,3,"[{type:3,param:20141503,value:-1}]",4,4,2,2,2,4,0
20400504,20141503,4,"[{type:3,param:20141503,value:-1}]",4,4,4,2,4,4,2
20400505,20141503,5,"[{type:3,param:20141503,value:-1}]",6,4,4,4,4,4,4
20400506,20141503,6,"[{type:3,param:20141503,value:-1}]",8,6,4,4,4,6,4
20400507,20141503,7,"[{type:3,param:20141503,value:-1}]",10,6,6,4,6,6,4
20400508,20141503,8,"[{type:3,param:20141503,value:-1}]",10,8,6,6,6,8,4
20400509,20141503,9,"[{type:3,param:20141503,value:-1}]",10,8,8,6,6,8,6
20400510,20141503,10,"[{type:3,param:20141503,value:-1}]",12,8,8,8,8,8,8
20400511,20123203,1,"[{type:3,param:20123203,value:-1}]",2,2,0,0,0,2,0
20400512,20123203,2,"[{type:3,param:20123203,value:-1}]",4,2,2,0,2,2,0
20400513,20123203,3,"[{type:3,param:20123203,value:-1}]",4,4,2,2,2,4,0
20400514,20123203,4,"[{type:3,param:20123203,value:-1}]",4,4,4,2,4,4,2
20400515,20123203,5,"[{type:3,param:20123203,value:-1}]",6,4,4,4,4,4,4
20400516,20123203,6,"[{type:3,param:20123203,value:-1}]",8,6,4,4,4,6,4
20400517,20123203,7,"[{type:3,param:20123203,value:-1}]",10,6,6,4,6,6,4
20400518,20123203,8,"[{type:3,param:20123203,value:-1}]",10,8,6,6,6,8,4
20400519,20123203,9,"[{type:3,param:20123203,value:-1}]",10,8,8,6,6,8,6
20400520,20123203,10,"[{type:3,param:20123203,value:-1}]",12,8,8,8,8,8,8
20400521,20132302,1,"[{type:3,param:20132302,value:-1}]",2,2,0,0,0,2,0
20400522,20132302,2,"[{type:3,param:20132302,value:-1}]",4,2,2,0,2,2,0
20400523,20132302,3,"[{type:3,param:20132302,value:-1}]",4,4,2,2,2,4,0
20400524,20132302,4,"[{type:3,param:20132302,value:-1}]",4,4,4,2,4,4,2
20400525,20132302,5,"[{type:3,param:20132302,value:-1}]",6,4,4,4,4,4,4
20400526,20132302,6,"[{type:3,param:20132302,value:-1}]",8,6,4,4,4,6,4
20400527,20132302,7,"[{type:3,param:20132302,value:-1}]",10,6,6,4,6,6,4
20400528,20132302,8,"[{type:3,param:20132302,value:-1}]",10,8,6,6,6,8,4
20400529,20132302,9,"[{type:3,param:20132302,value:-1}]",10,8,8,6,6,8,6
20400530,20132302,10,"[{type:3,param:20132302,value:-1}]",12,8,8,8,8,8,8
20400531,20121201,1,"[{type:3,param:20121201,value:-1}]",2,2,0,0,0,2,0
20400532,20121201,2,"[{type:3,param:20121201,value:-1}]",4,2,2,0,2,2,0
20400533,20121201,3,"[{type:3,param:20121201,value:-1}]",4,4,2,2,2,4,0
20400534,20121201,4,"[{type:3,param:20121201,value:-1}]",4,4,4,2,4,4,2
20400535,20121201,5,"[{type:3,param:20121201,value:-1}]",6,4,4,4,4,4,4
20400536,20121201,6,"[{type:3,param:20121201,value:-1}]",8,6,4,4,4,6,4
20400537,20121201,7,"[{type:3,param:20121201,value:-1}]",10,6,6,4,6,6,4
20400538,20121201,8,"[{type:3,param:20121201,value:-1}]",10,8,6,6,6,8,4
20400539,20121201,9,"[{type:3,param:20121201,value:-1}]",10,8,8,6,6,8,6
20400540,20121201,10,"[{type:3,param:20121201,value:-1}]",12,8,8,8,8,8,8
20400541,20113101,1,"[{type:3,param:20113101,value:-1}]",2,2,0,0,0,2,0
20400542,20113101,2,"[{type:3,param:20113101,value:-1}]",4,2,2,0,2,2,0
20400543,20113101,3,"[{type:3,param:20113101,value:-1}]",4,4,2,2,2,4,0
20400544,20113101,4,"[{type:3,param:20113101,value:-1}]",4,4,4,2,4,4,2
20400545,20113101,5,"[{type:3,param:20113101,value:-1}]",6,4,4,4,4,4,4
20400546,20113101,6,"[{type:3,param:20113101,value:-1}]",8,6,4,4,4,6,4
20400547,20113101,7,"[{type:3,param:20113101,value:-1}]",10,6,6,4,6,6,4
20400548,20113101,8,"[{type:3,param:20113101,value:-1}]",10,8,6,6,6,8,4
20400549,20113101,9,"[{type:3,param:20113101,value:-1}]",10,8,8,6,6,8,6
20400550,20113101,10,"[{type:3,param:20113101,value:-1}]",12,8,8,8,8,8,8
20400551,20141504,1,"[{type:3,param:20141504,value:-1}]",2,2,0,0,0,2,0
20400552,20141504,2,"[{type:3,param:20141504,value:-1}]",4,2,2,0,2,2,0
20400553,20141504,3,"[{type:3,param:20141504,value:-1}]",4,4,2,2,2,4,0
20400554,20141504,4,"[{type:3,param:20141504,value:-1}]",4,4,4,2,4,4,2
20400555,20141504,5,"[{type:3,param:20141504,value:-1}]",6,4,4,4,4,4,4
20400556,20141504,6,"[{type:3,param:20141504,value:-1}]",8,6,4,4,4,6,4
20400557,20141504,7,"[{type:3,param:20141504,value:-1}]",10,6,6,4,6,6,4
20400558,20141504,8,"[{type:3,param:20141504,value:-1}]",10,8,6,6,6,8,4
20400559,20141504,9,"[{type:3,param:20141504,value:-1}]",10,8,8,6,6,8,6
20400560,20141504,10,"[{type:3,param:20141504,value:-1}]",12,8,8,8,8,8,8
20400561,20121202,1,"[{type:3,param:20121202,value:-1}]",2,2,0,0,0,2,0
20400562,20121202,2,"[{type:3,param:20121202,value:-1}]",4,2,2,0,2,2,0
20400563,20121202,3,"[{type:3,param:20121202,value:-1}]",4,4,2,2,2,4,0
20400564,20121202,4,"[{type:3,param:20121202,value:-1}]",4,4,4,2,4,4,2
20400565,20121202,5,"[{type:3,param:20121202,value:-1}]",6,4,4,4,4,4,4
20400566,20121202,6,"[{type:3,param:20121202,value:-1}]",8,6,4,4,4,6,4
20400567,20121202,7,"[{type:3,param:20121202,value:-1}]",10,6,6,4,6,6,4
20400568,20121202,8,"[{type:3,param:20121202,value:-1}]",10,8,6,6,6,8,4
20400569,20121202,9,"[{type:3,param:20121202,value:-1}]",10,8,8,6,6,8,6
20400570,20121202,10,"[{type:3,param:20121202,value:-1}]",12,8,8,8,8,8,8
20400571,20133301,1,"[{type:3,param:20133301,value:-1}]",2,2,0,0,0,2,0
20400572,20133301,2,"[{type:3,param:20133301,value:-1}]",4,2,2,0,2,2,0
20400573,20133301,3,"[{type:3,param:20133301,value:-1}]",4,4,2,2,2,4,0
20400574,20133301,4,"[{type:3,param:20133301,value:-1}]",4,4,4,2,4,4,2
20400575,20133301,5,"[{type:3,param:20133301,value:-1}]",6,4,4,4,4,4,4
20400576,20133301,6,"[{type:3,param:20133301,value:-1}]",8,6,4,4,4,6,4
20400577,20133301,7,"[{type:3,param:20133301,value:-1}]",10,6,6,4,6,6,4
20400578,20133301,8,"[{type:3,param:20133301,value:-1}]",10,8,6,6,6,8,4
20400579,20133301,9,"[{type:3,param:20133301,value:-1}]",10,8,8,6,6,8,6
20400580,20133301,10,"[{type:3,param:20133301,value:-1}]",12,8,8,8,8,8,8
20400581,20113102,1,"[{type:3,param:20113102,value:-1}]",2,2,0,0,0,2,0
20400582,20113102,2,"[{type:3,param:20113102,value:-1}]",4,2,2,0,2,2,0
20400583,20113102,3,"[{type:3,param:20113102,value:-1}]",4,4,2,2,2,4,0
20400584,20113102,4,"[{type:3,param:20113102,value:-1}]",4,4,4,2,4,4,2
20400585,20113102,5,"[{type:3,param:20113102,value:-1}]",6,4,4,4,4,4,4
20400586,20113102,6,"[{type:3,param:20113102,value:-1}]",8,6,4,4,4,6,4
20400587,20113102,7,"[{type:3,param:20113102,value:-1}]",10,6,6,4,6,6,4
20400588,20113102,8,"[{type:3,param:20113102,value:-1}]",10,8,6,6,6,8,4
20400589,20113102,9,"[{type:3,param:20113102,value:-1}]",10,8,8,6,6,8,6
20400590,20113102,10,"[{type:3,param:20113102,value:-1}]",12,8,8,8,8,8,8
20400591,20141505,1,"[{type:3,param:20141505,value:-1}]",2,2,0,0,0,2,0
20400592,20141505,2,"[{type:3,param:20141505,value:-1}]",4,2,2,0,2,2,0
20400593,20141505,3,"[{type:3,param:20141505,value:-1}]",4,4,2,2,2,4,0
20400594,20141505,4,"[{type:3,param:20141505,value:-1}]",4,4,4,2,4,4,2
20400595,20141505,5,"[{type:3,param:20141505,value:-1}]",6,4,4,4,4,4,4
20400596,20141505,6,"[{type:3,param:20141505,value:-1}]",8,6,4,4,4,6,4
20400597,20141505,7,"[{type:3,param:20141505,value:-1}]",10,6,6,4,6,6,4
20400598,20141505,8,"[{type:3,param:20141505,value:-1}]",10,8,6,6,6,8,4
20400599,20141505,9,"[{type:3,param:20141505,value:-1}]",10,8,8,6,6,8,6
20400600,20141505,10,"[{type:3,param:20141505,value:-1}]",12,8,8,8,8,8,8
20400601,20113103,1,"[{type:3,param:20113103,value:-1}]",2,2,0,0,0,2,0
20400602,20113103,2,"[{type:3,param:20113103,value:-1}]",4,2,2,0,2,2,0
20400603,20113103,3,"[{type:3,param:20113103,value:-1}]",4,4,2,2,2,4,0
20400604,20113103,4,"[{type:3,param:20113103,value:-1}]",4,4,4,2,4,4,2
20400605,20113103,5,"[{type:3,param:20113103,value:-1}]",6,4,4,4,4,4,4
20400606,20113103,6,"[{type:3,param:20113103,value:-1}]",8,6,4,4,4,6,4
20400607,20113103,7,"[{type:3,param:20113103,value:-1}]",10,6,6,4,6,6,4
20400608,20113103,8,"[{type:3,param:20113103,value:-1}]",10,8,6,6,6,8,4
20400609,20113103,9,"[{type:3,param:20113103,value:-1}]",10,8,8,6,6,8,6
20400610,20113103,10,"[{type:3,param:20113103,value:-1}]",12,8,8,8,8,8,8
20400611,20133302,1,"[{type:3,param:20133302,value:-1}]",2,2,0,0,0,2,0
20400612,20133302,2,"[{type:3,param:20133302,value:-1}]",4,2,2,0,2,2,0
20400613,20133302,3,"[{type:3,param:20133302,value:-1}]",4,4,2,2,2,4,0
20400614,20133302,4,"[{type:3,param:20133302,value:-1}]",4,4,4,2,4,4,2
20400615,20133302,5,"[{type:3,param:20133302,value:-1}]",6,4,4,4,4,4,4
20400616,20133302,6,"[{type:3,param:20133302,value:-1}]",8,6,4,4,4,6,4
20400617,20133302,7,"[{type:3,param:20133302,value:-1}]",10,6,6,4,6,6,4
