"ID{id,int}(idx)","对应英雄的CID{heroCid,int}(num,heroCid)","装备星级{star,int}(num,star)","装备数量{num,int}(num,num)","属性类型{attType,ints}(fun,attType)","属性计算类型{calType,ints}(fun,calType)","属性值{value,ints}(fun,value)",
56900449,21000030,5,4,"{3,4}","{3,3}","{300,600}",
56900450,21000030,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900451,21000031,1,2,{5},{3},{300},
56900452,21000031,1,4,"{1,4}","{3,3}","{300,600}",
56900453,21000031,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900454,21000031,2,2,{5},{3},{300},
56900455,21000031,2,4,"{1,4}","{3,3}","{300,600}",
56900456,21000031,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900457,21000031,3,2,{5},{3},{300},
56900458,21000031,3,4,"{1,4}","{3,3}","{300,600}",
56900459,21000031,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900460,21000031,4,2,{5},{3},{300},
56900461,21000031,4,4,"{1,4}","{3,3}","{300,600}",
56900462,21000031,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900463,21000031,5,2,{5},{3},{300},
56900464,21000031,5,4,"{1,4}","{3,3}","{300,600}",
56900465,21000031,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900466,21000032,1,2,{5},{3},{300},
56900467,21000032,1,4,"{1,4}","{3,3}","{300,600}",
56900468,21000032,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900469,21000032,2,2,{5},{3},{300},
56900470,21000032,2,4,"{1,4}","{3,3}","{300,600}",
56900471,21000032,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900472,21000032,3,2,{5},{3},{300},
56900473,21000032,3,4,"{1,4}","{3,3}","{300,600}",
56900474,21000032,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900475,21000032,4,2,{5},{3},{300},
56900476,21000032,4,4,"{1,4}","{3,3}","{300,600}",
56900477,21000032,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900478,21000032,5,2,{5},{3},{300},
56900479,21000032,5,4,"{1,4}","{3,3}","{300,600}",
56900480,21000032,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900481,21000033,1,2,{5},{3},{300},
56900482,21000033,1,4,"{1,4}","{3,3}","{300,600}",
56900483,21000033,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900484,21000033,2,2,{5},{3},{300},
56900485,21000033,2,4,"{1,4}","{3,3}","{300,600}",
56900486,21000033,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900487,21000033,3,2,{5},{3},{300},
56900488,21000033,3,4,"{1,4}","{3,3}","{300,600}",
56900489,21000033,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900490,21000033,4,2,{5},{3},{300},
56900491,21000033,4,4,"{1,4}","{3,3}","{300,600}",
56900492,21000033,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900493,21000033,5,2,{5},{3},{300},
56900494,21000033,5,4,"{1,4}","{3,3}","{300,600}",
56900495,21000033,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900496,21000034,1,2,{5},{3},{300},
56900497,21000034,1,4,"{1,4}","{3,3}","{300,600}",
56900498,21000034,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900499,21000034,2,2,{5},{3},{300},
56900500,21000034,2,4,"{1,4}","{3,3}","{300,600}",
56900501,21000034,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900502,21000034,3,2,{5},{3},{300},
56900503,21000034,3,4,"{1,4}","{3,3}","{300,600}",
56900504,21000034,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900505,21000034,4,2,{5},{3},{300},
56900506,21000034,4,4,"{1,4}","{3,3}","{300,600}",
56900507,21000034,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900508,21000034,5,2,{5},{3},{300},
56900509,21000034,5,4,"{1,4}","{3,3}","{300,600}",
56900510,21000034,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900511,21000035,1,2,{5},{3},{300},
56900512,21000035,1,4,"{3,4}","{3,3}","{300,600}",
56900513,21000035,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900514,21000035,2,2,{5},{3},{300},
56900515,21000035,2,4,"{3,4}","{3,3}","{300,600}",
56900516,21000035,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900517,21000035,3,2,{5},{3},{300},
56900518,21000035,3,4,"{3,4}","{3,3}","{300,600}",
56900519,21000035,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900520,21000035,4,2,{5},{3},{300},
56900521,21000035,4,4,"{3,4}","{3,3}","{300,600}",
56900522,21000035,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900523,21000035,5,2,{5},{3},{300},
56900524,21000035,5,4,"{3,4}","{3,3}","{300,600}",
56900525,21000035,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900526,21000036,1,2,{5},{3},{300},
56900527,21000036,1,4,"{3,4}","{3,3}","{300,600}",
56900528,21000036,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900529,21000036,2,2,{5},{3},{300},
56900530,21000036,2,4,"{3,4}","{3,3}","{300,600}",
56900531,21000036,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900532,21000036,3,2,{5},{3},{300},
56900533,21000036,3,4,"{3,4}","{3,3}","{300,600}",
56900534,21000036,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900535,21000036,4,2,{5},{3},{300},
56900536,21000036,4,4,"{3,4}","{3,3}","{300,600}",
56900537,21000036,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900538,21000036,5,2,{5},{3},{300},
56900539,21000036,5,4,"{3,4}","{3,3}","{300,600}",
56900540,21000036,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900541,21000037,1,2,{5},{3},{300},
56900542,21000037,1,4,"{1,4}","{3,3}","{300,600}",
56900543,21000037,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900544,21000037,2,2,{5},{3},{300},
56900545,21000037,2,4,"{1,4}","{3,3}","{300,600}",
56900546,21000037,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900547,21000037,3,2,{5},{3},{300},
56900548,21000037,3,4,"{1,4}","{3,3}","{300,600}",
56900549,21000037,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900550,21000037,4,2,{5},{3},{300},
56900551,21000037,4,4,"{1,4}","{3,3}","{300,600}",
56900552,21000037,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900553,21000037,5,2,{5},{3},{300},
56900554,21000037,5,4,"{1,4}","{3,3}","{300,600}",
56900555,21000037,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900556,21000038,1,2,{5},{3},{300},
56900557,21000038,1,4,"{1,4}","{3,3}","{300,600}",
56900558,21000038,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900559,21000038,2,2,{5},{3},{300},
56900560,21000038,2,4,"{1,4}","{3,3}","{300,600}",
56900561,21000038,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900562,21000038,3,2,{5},{3},{300},
56900563,21000038,3,4,"{1,4}","{3,3}","{300,600}",
56900564,21000038,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900565,21000038,4,2,{5},{3},{300},
56900566,21000038,4,4,"{1,4}","{3,3}","{300,600}",
56900567,21000038,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900568,21000038,5,2,{5},{3},{300},
56900569,21000038,5,4,"{1,4}","{3,3}","{300,600}",
56900570,21000038,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900571,21000039,1,2,{5},{3},{300},
56900572,21000039,1,4,"{3,4}","{3,3}","{300,600}",
56900573,21000039,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900574,21000039,2,2,{5},{3},{300},
56900575,21000039,2,4,"{3,4}","{3,3}","{300,600}",
56900576,21000039,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900577,21000039,3,2,{5},{3},{300},
56900578,21000039,3,4,"{3,4}","{3,3}","{300,600}",
56900579,21000039,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900580,21000039,4,2,{5},{3},{300},
56900581,21000039,4,4,"{3,4}","{3,3}","{300,600}",
56900582,21000039,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900583,21000039,5,2,{5},{3},{300},
56900584,21000039,5,4,"{3,4}","{3,3}","{300,600}",
56900585,21000039,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900586,21000040,1,2,{5},{3},{300},
56900587,21000040,1,4,"{3,4}","{3,3}","{300,600}",
56900588,21000040,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900589,21000040,2,2,{5},{3},{300},
56900590,21000040,2,4,"{3,4}","{3,3}","{300,600}",
56900591,21000040,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900592,21000040,3,2,{5},{3},{300},
56900593,21000040,3,4,"{3,4}","{3,3}","{300,600}",
56900594,21000040,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900595,21000040,4,2,{5},{3},{300},
56900596,21000040,4,4,"{3,4}","{3,3}","{300,600}",
56900597,21000040,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900598,21000040,5,2,{5},{3},{300},
56900599,21000040,5,4,"{3,4}","{3,3}","{300,600}",
56900600,21000040,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900601,21000041,1,2,{5},{3},{300},
56900602,21000041,1,4,"{1,4}","{3,3}","{300,600}",
56900603,21000041,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900604,21000041,2,2,{5},{3},{300},
56900605,21000041,2,4,"{1,4}","{3,3}","{300,600}",
56900606,21000041,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900607,21000041,3,2,{5},{3},{300},
56900608,21000041,3,4,"{1,4}","{3,3}","{300,600}",
56900609,21000041,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900610,21000041,4,2,{5},{3},{300},
56900611,21000041,4,4,"{1,4}","{3,3}","{300,600}",
56900612,21000041,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900613,21000041,5,2,{5},{3},{300},
56900614,21000041,5,4,"{1,4}","{3,3}","{300,600}",
56900615,21000041,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900616,21000042,1,2,{5},{3},{300},
56900617,21000042,1,4,"{1,4}","{3,3}","{300,600}",
56900618,21000042,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900619,21000042,2,2,{5},{3},{300},
56900620,21000042,2,4,"{1,4}","{3,3}","{300,600}",
56900621,21000042,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900622,21000042,3,2,{5},{3},{300},
56900623,21000042,3,4,"{1,4}","{3,3}","{300,600}",
56900624,21000042,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900625,21000042,4,2,{5},{3},{300},
56900626,21000042,4,4,"{1,4}","{3,3}","{300,600}",
56900627,21000042,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900628,21000042,5,2,{5},{3},{300},
56900629,21000042,5,4,"{1,4}","{3,3}","{300,600}",
56900630,21000042,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900631,21000043,1,2,{5},{3},{300},
56900632,21000043,1,4,"{3,4}","{3,3}","{300,600}",
56900633,21000043,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900634,21000043,2,2,{5},{3},{300},
56900635,21000043,2,4,"{3,4}","{3,3}","{300,600}",
56900636,21000043,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900637,21000043,3,2,{5},{3},{300},
56900638,21000043,3,4,"{3,4}","{3,3}","{300,600}",
56900639,21000043,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900640,21000043,4,2,{5},{3},{300},
56900641,21000043,4,4,"{3,4}","{3,3}","{300,600}",
56900642,21000043,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900643,21000043,5,2,{5},{3},{300},
56900644,21000043,5,4,"{3,4}","{3,3}","{300,600}",
56900645,21000043,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900646,21000044,1,2,{5},{3},{300},
56900647,21000044,1,4,"{1,4}","{3,3}","{300,600}",
56900648,21000044,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900649,21000044,2,2,{5},{3},{300},
56900650,21000044,2,4,"{1,4}","{3,3}","{300,600}",
56900651,21000044,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900652,21000044,3,2,{5},{3},{300},
56900653,21000044,3,4,"{1,4}","{3,3}","{300,600}",
56900654,21000044,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900655,21000044,4,2,{5},{3},{300},
56900656,21000044,4,4,"{1,4}","{3,3}","{300,600}",
56900657,21000044,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900658,21000044,5,2,{5},{3},{300},
56900659,21000044,5,4,"{1,4}","{3,3}","{300,600}",
56900660,21000044,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900661,21000045,1,2,{5},{3},{300},
56900662,21000045,1,4,"{3,4}","{3,3}","{300,600}",
56900663,21000045,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900664,21000045,2,2,{5},{3},{300},
56900665,21000045,2,4,"{3,4}","{3,3}","{300,600}",
56900666,21000045,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900667,21000045,3,2,{5},{3},{300},
56900668,21000045,3,4,"{3,4}","{3,3}","{300,600}",
56900669,21000045,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900670,21000045,4,2,{5},{3},{300},
56900671,21000045,4,4,"{3,4}","{3,3}","{300,600}",
56900672,21000045,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900673,21000045,5,2,{5},{3},{300},
56900674,21000045,5,4,"{3,4}","{3,3}","{300,600}",
56900675,21000045,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900676,21000046,1,2,{5},{3},{300},
56900677,21000046,1,4,"{1,4}","{3,3}","{300,600}",
56900678,21000046,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900679,21000046,2,2,{5},{3},{300},
56900680,21000046,2,4,"{1,4}","{3,3}","{300,600}",
56900681,21000046,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900682,21000046,3,2,{5},{3},{300},
56900683,21000046,3,4,"{1,4}","{3,3}","{300,600}",
56900684,21000046,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900685,21000046,4,2,{5},{3},{300},
56900686,21000046,4,4,"{1,4}","{3,3}","{300,600}",
56900687,21000046,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900688,21000046,5,2,{5},{3},{300},
56900689,21000046,5,4,"{1,4}","{3,3}","{300,600}",
56900690,21000046,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900691,21000047,1,2,{5},{3},{300},
56900692,21000047,1,4,"{1,4}","{3,3}","{300,600}",
56900693,21000047,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900694,21000047,2,2,{5},{3},{300},
56900695,21000047,2,4,"{1,4}","{3,3}","{300,600}",
56900696,21000047,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900697,21000047,3,2,{5},{3},{300},
56900698,21000047,3,4,"{1,4}","{3,3}","{300,600}",
56900699,21000047,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900700,21000047,4,2,{5},{3},{300},
56900701,21000047,4,4,"{1,4}","{3,3}","{300,600}",
56900702,21000047,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900703,21000047,5,2,{5},{3},{300},
56900704,21000047,5,4,"{1,4}","{3,3}","{300,600}",
56900705,21000047,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900706,21000048,1,2,{5},{3},{300},
56900707,21000048,1,4,"{3,4}","{3,3}","{300,600}",
56900708,21000048,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900709,21000048,2,2,{5},{3},{300},
56900710,21000048,2,4,"{3,4}","{3,3}","{300,600}",
56900711,21000048,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900712,21000048,3,2,{5},{3},{300},
56900713,21000048,3,4,"{3,4}","{3,3}","{300,600}",
56900714,21000048,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900715,21000048,4,2,{5},{3},{300},
56900716,21000048,4,4,"{3,4}","{3,3}","{300,600}",
56900717,21000048,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900718,21000048,5,2,{5},{3},{300},
56900719,21000048,5,4,"{3,4}","{3,3}","{300,600}",
56900720,21000048,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900721,21000049,1,2,{5},{3},{300},
56900722,21000049,1,4,"{1,4}","{3,3}","{300,600}",
56900723,21000049,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900724,21000049,2,2,{5},{3},{300},
56900725,21000049,2,4,"{1,4}","{3,3}","{300,600}",
56900726,21000049,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900727,21000049,3,2,{5},{3},{300},
56900728,21000049,3,4,"{1,4}","{3,3}","{300,600}",
56900729,21000049,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900730,21000049,4,2,{5},{3},{300},
56900731,21000049,4,4,"{1,4}","{3,3}","{300,600}",
56900732,21000049,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900733,21000049,5,2,{5},{3},{300},
56900734,21000049,5,4,"{1,4}","{3,3}","{300,600}",
56900735,21000049,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900736,21000050,1,2,{5},{3},{300},
56900737,21000050,1,4,"{3,4}","{3,3}","{300,600}",
56900738,21000050,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900739,21000050,2,2,{5},{3},{300},
56900740,21000050,2,4,"{3,4}","{3,3}","{300,600}",
56900741,21000050,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900742,21000050,3,2,{5},{3},{300},
56900743,21000050,3,4,"{3,4}","{3,3}","{300,600}",
56900744,21000050,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900745,21000050,4,2,{5},{3},{300},
56900746,21000050,4,4,"{3,4}","{3,3}","{300,600}",
56900747,21000050,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900748,21000050,5,2,{5},{3},{300},
56900749,21000050,5,4,"{3,4}","{3,3}","{300,600}",
56900750,21000050,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
