"进阶id{id,int}(idx)","角色id{hcid,int}(num,hcid)","阶级{grade,int}(num,grade)","角色等级限制{levelLimit,int}(num,levelLimit)","生命(num,lf){lf,int}","物理攻击(num,ptk){ptk,int}","魔法攻击(num,stk){stk,int}","物理防御(num,pdf){pdf,int}","魔法防御(num,sdf){sdf,int}","进阶货币消耗{upGradeCost,json_func}(json,upGradeCost)","道具id1{goodsId1,int}(num,goodsId1)","道具数量1{goodsNum1,int}(num,goodsNum1)","道具id2{goodsId2,int}(num,goodsId2)","道具数量2{goodsNum2,int}(num,goodsNum2)","道具id3{goodsId3,int}(num,goodsId3)","道具数量3{goodsNum3,int}(num,goodsNum3)","道具id4{goodsId4,int}(num,goodsId4)","道具数量4{goodsNum4,int}(num,goodsNum4)",
204,21000013,11,45,8998,4675,0,890,715,"{type:4,param:80400001,value:-115000}",56000008,1,56000007,1,56000008,1,56000010,1,
205,21000013,12,50,10944,5686,0,1083,869,"{type:4,param:80400001,value:-143900}",56000007,1,56000008,1,56000010,1,56000009,1,
206,21000013,13,55,12160,6318,0,1203,966,"{type:4,param:80400001,value:-176600}",56000008,1,56000010,1,56000008,1,56000009,1,
207,21000013,14,60,13376,6949,0,1324,1062,"{type:4,param:80400001,value:-213300}",56000008,1,56000010,1,56000008,1,56000009,1,
208,21000013,15,65,14592,7581,0,1444,1159,"{type:4,param:80400001,value:-253900}",56000008,1,56000008,1,56000008,1,56000007,1,
209,21000014,0,1,0,0,0,0,0,,56000008,1,56000010,1,56000008,1,56000009,1,
210,21000014,1,1,486,250,0,49,38,"{type:4,param:80400001,value:-500}",56000007,1,56000008,1,56000007,1,56000009,1,
211,21000014,2,5,973,500,0,99,76,"{type:4,param:80400001,value:-1000}",56000008,1,56000010,1,56000007,1,56000009,1,
212,21000014,3,5,1459,751,0,148,114,"{type:4,param:80400001,value:-3100}",56000010,1,56000008,1,56000009,1,56000008,1,
213,21000014,4,10,2432,1251,0,247,190,"{type:4,param:80400001,value:-7200}",56000010,1,56000009,1,56000008,1,56000010,1,
214,21000014,5,15,3162,1626,0,321,247,"{type:4,param:80400001,value:-13700}",56000009,1,56000007,1,56000009,1,56000007,1,
215,21000014,6,20,3891,2001,0,395,304,"{type:4,param:80400001,value:-22800}",56000008,1,56000009,1,56000008,1,56000010,1,
216,21000014,7,25,4621,2377,0,469,361,"{type:4,param:80400001,value:-34800}",56000008,1,56000010,1,56000008,1,56000010,1,
217,21000014,8,30,6080,3127,0,617,475,"{type:4,param:80400001,value:-49900}",56000009,1,56000009,1,56000010,1,56000009,1,
218,21000014,9,35,7053,3627,0,716,551,"{type:4,param:80400001,value:-68100}",56000010,1,56000010,1,56000007,1,56000010,1,
219,21000014,10,40,8026,4128,0,815,627,"{type:4,param:80400001,value:-89800}",56000007,1,56000007,1,56000009,1,56000007,1,
220,21000014,11,45,8998,4628,0,914,703,"{type:4,param:80400001,value:-115000}",56000008,1,56000007,1,56000009,1,56000010,1,
221,21000014,12,50,10944,5629,0,1112,855,"{type:4,param:80400001,value:-143900}",56000010,1,56000008,1,56000010,1,56000009,1,
222,21000014,13,55,12160,6254,0,1235,950,"{type:4,param:80400001,value:-176600}",56000008,1,56000009,1,56000007,1,56000009,1,
223,21000014,14,60,13376,6880,0,1358,1045,"{type:4,param:80400001,value:-213300}",56000007,1,56000009,1,56000008,1,56000009,1,
224,21000014,15,65,14592,7505,0,1482,1140,"{type:4,param:80400001,value:-253900}",56000008,1,56000008,1,56000007,1,56000010,1,
225,21000015,0,1,0,0,0,0,0,,56000008,1,56000009,1,56000008,1,56000009,1,
226,21000015,1,1,486,0,250,38,48,"{type:4,param:80400001,value:-500}",56000010,1,56000008,1,56000007,1,56000009,1,
227,21000015,2,5,973,0,500,76,95,"{type:4,param:80400001,value:-1000}",56000007,1,56000010,1,56000008,1,56000009,1,
228,21000015,3,5,1459,0,751,114,143,"{type:4,param:80400001,value:-3100}",56000009,1,56000008,1,56000009,1,56000007,1,
229,21000015,4,10,2432,0,1251,190,237,"{type:4,param:80400001,value:-7200}",56000007,1,56000010,1,56000008,1,56000010,1,
230,21000015,5,15,3162,0,1626,247,309,"{type:4,param:80400001,value:-13700}",56000010,1,56000007,1,56000010,1,56000007,1,
231,21000015,6,20,3891,0,2001,304,380,"{type:4,param:80400001,value:-22800}",56000008,1,56000009,1,56000008,1,56000010,1,
232,21000015,7,25,4621,0,2377,361,451,"{type:4,param:80400001,value:-34800}",56000008,1,56000010,1,56000009,1,56000010,1,
233,21000015,8,30,6080,0,3127,475,594,"{type:4,param:80400001,value:-49900}",56000010,1,56000008,1,56000007,1,56000009,1,
234,21000015,9,35,7053,0,3627,551,689,"{type:4,param:80400001,value:-68100}",56000007,1,56000009,1,56000008,1,56000010,1,
235,21000015,10,40,8026,0,4128,627,784,"{type:4,param:80400001,value:-89800}",56000007,1,56000007,1,56000008,1,56000007,1,
236,21000015,11,45,8998,0,4628,703,879,"{type:4,param:80400001,value:-115000}",56000008,1,56000010,1,56000009,1,56000010,1,
237,21000015,12,50,10944,0,5629,855,1069,"{type:4,param:80400001,value:-143900}",56000010,1,56000008,1,56000010,1,56000009,1,
238,21000015,13,55,12160,0,6254,950,1188,"{type:4,param:80400001,value:-176600}",56000007,1,56000010,1,56000008,1,56000010,1,
239,21000015,14,60,13376,0,6880,1045,1306,"{type:4,param:80400001,value:-213300}",56000010,1,56000009,1,56000007,1,56000009,1,
240,21000015,15,65,14592,0,7505,1140,1425,"{type:4,param:80400001,value:-253900}",56000007,1,56000010,1,56000009,1,56000007,1,
241,21000016,0,1,0,0,0,0,0,,56000007,1,56000010,1,56000007,1,56000009,1,
242,21000016,1,1,486,0,250,38,49,"{type:4,param:80400001,value:-500}",56000010,1,56000008,1,56000007,1,56000009,1,
243,21000016,2,5,973,0,500,76,99,"{type:4,param:80400001,value:-1000}",56000008,1,56000010,1,56000008,1,56000010,1,
244,21000016,3,5,1459,0,751,114,148,"{type:4,param:80400001,value:-3100}",56000010,1,56000008,1,56000010,1,56000007,1,
245,21000016,4,10,2432,0,1251,190,247,"{type:4,param:80400001,value:-7200}",56000010,1,56000010,1,56000008,1,56000010,1,
246,21000016,5,15,3162,0,1626,247,321,"{type:4,param:80400001,value:-13700}",56000009,1,56000008,1,56000010,1,56000008,1,
247,21000016,6,20,3891,0,2001,304,395,"{type:4,param:80400001,value:-22800}",56000008,1,56000010,1,56000007,1,56000009,1,
248,21000016,7,25,4621,0,2377,361,469,"{type:4,param:80400001,value:-34800}",56000007,1,56000010,1,56000009,1,56000007,1,
249,21000016,8,30,6080,0,3127,475,617,"{type:4,param:80400001,value:-49900}",56000008,1,56000009,1,56000010,1,56000008,1,
250,21000016,9,35,7053,0,3627,551,716,"{type:4,param:80400001,value:-68100}",56000008,1,56000010,1,56000008,1,56000009,1,
251,21000016,10,40,8026,0,4128,627,815,"{type:4,param:80400001,value:-89800}",56000009,1,56000007,1,56000009,1,56000007,1,
252,21000016,11,45,8998,0,4628,703,914,"{type:4,param:80400001,value:-115000}",56000008,1,56000010,1,56000008,1,56000007,1,
253,21000016,12,50,10944,0,5629,855,1112,"{type:4,param:80400001,value:-143900}",56000010,1,56000009,1,56000010,1,56000008,1,
254,21000016,13,55,12160,0,6254,950,1235,"{type:4,param:80400001,value:-176600}",56000007,1,56000009,1,56000008,1,56000009,1,
255,21000016,14,60,13376,0,6880,1045,1358,"{type:4,param:80400001,value:-213300}",56000007,1,56000009,1,56000007,1,56000009,1,
256,21000016,15,65,14592,0,7505,1140,1482,"{type:4,param:80400001,value:-253900}",56000008,1,56000009,1,56000007,1,56000007,1,
257,21000017,0,1,0,0,0,0,0,,56000007,1,56000009,1,56000007,1,56000009,1,
258,21000017,1,1,715,110,0,72,57,"{type:4,param:80400001,value:-500}",56000007,1,56000009,1,56000010,1,56000009,1,
259,21000017,2,5,1430,220,0,144,114,"{type:4,param:80400001,value:-1000}",56000007,1,56000010,1,56000008,1,56000009,1,
260,21000017,3,5,2145,331,0,217,171,"{type:4,param:80400001,value:-3100}",56000010,1,56000007,1,56000009,1,56000008,1,
261,21000017,4,10,3575,551,0,361,285,"{type:4,param:80400001,value:-7200}",56000008,1,56000010,1,56000007,1,56000009,1,
262,21000017,5,15,4648,716,0,469,370,"{type:4,param:80400001,value:-13700}",56000008,1,56000007,1,56000010,1,56000007,1,
263,21000017,6,20,5720,882,0,578,456,"{type:4,param:80400001,value:-22800}",56000010,1,56000009,1,56000008,1,56000010,1,
264,21000017,7,25,6793,1047,0,686,541,"{type:4,param:80400001,value:-34800}",56000009,1,56000010,1,56000009,1,56000010,1,
265,21000017,8,30,8938,1377,0,902,712,"{type:4,param:80400001,value:-49900}",56000008,1,56000008,1,56000010,1,56000009,1,
266,21000017,9,35,10368,1598,0,1047,827,"{type:4,param:80400001,value:-68100}",56000010,1,56000009,1,56000008,1,56000009,1,
267,21000017,10,40,11798,1818,0,1191,941,"{type:4,param:80400001,value:-89800}",56000009,1,56000007,1,56000009,1,56000007,1,
268,21000017,11,45,13228,2039,0,1336,1054,"{type:4,param:80400001,value:-115000}",56000009,1,56000010,1,56000008,1,56000007,1,
269,21000017,12,50,16088,2480,0,1625,1283,"{type:4,param:80400001,value:-143900}",56000007,1,56000008,1,56000007,1,56000009,1,
270,21000017,13,55,17876,2755,0,1805,1425,"{type:4,param:80400001,value:-176600}",56000007,1,56000009,1,56000007,1,56000009,1,
271,21000017,14,60,19663,3030,0,1985,1567,"{type:4,param:80400001,value:-213300}",56000010,1,56000010,1,56000007,1,56000010,1,
272,21000017,15,65,21451,3306,0,2166,1710,"{type:4,param:80400001,value:-253900}",56000008,1,56000010,1,56000008,1,56000007,1,
273,21000018,0,1,0,0,0,0,0,,56000007,1,56000009,1,56000008,1,56000010,1,
274,21000018,1,1,707,108,0,73,56,"{type:4,param:80400001,value:-500}",56000007,1,56000008,1,56000010,1,56000009,1,
275,21000018,2,5,1415,217,0,146,113,"{type:4,param:80400001,value:-1000}",56000008,1,56000010,1,56000008,1,56000009,1,
276,21000018,3,5,2122,325,0,219,169,"{type:4,param:80400001,value:-3100}",56000010,1,56000008,1,56000010,1,56000008,1,
277,21000018,4,10,3537,541,0,364,282,"{type:4,param:80400001,value:-7200}",56000010,1,56000010,1,56000008,1,56000010,1,
278,21000018,5,15,4598,704,0,473,366,"{type:4,param:80400001,value:-13700}",56000008,1,56000008,1,56000010,1,56000008,1,
279,21000018,6,20,5659,866,0,583,451,"{type:4,param:80400001,value:-22800}",56000007,1,56000009,1,56000007,1,56000010,1,
280,21000018,7,25,6721,1029,0,692,535,"{type:4,param:80400001,value:-34800}",56000009,1,56000010,1,56000009,1,56000010,1,
281,21000018,8,30,8843,1354,0,910,705,"{type:4,param:80400001,value:-49900}",56000007,1,56000009,1,56000010,1,56000008,1,
282,21000018,9,35,10258,1570,0,1056,817,"{type:4,param:80400001,value:-68100}",56000009,1,56000010,1,56000007,1,56000010,1,
283,21000018,10,40,11673,1787,0,1202,930,"{type:4,param:80400001,value:-89800}",56000007,1,56000007,1,56000009,1,56000007,1,
284,21000018,11,45,13087,2004,0,1347,1043,"{type:4,param:80400001,value:-115000}",56000009,1,56000007,1,56000009,1,56000010,1,
285,21000018,12,50,15917,2437,0,1639,1268,"{type:4,param:80400001,value:-143900}",56000010,1,56000008,1,56000010,1,56000009,1,
286,21000018,13,55,17686,2708,0,1821,1409,"{type:4,param:80400001,value:-176600}",56000008,1,56000010,1,56000008,1,56000009,1,
287,21000018,14,60,19454,2978,0,2003,1550,"{type:4,param:80400001,value:-213300}",56000010,1,56000009,1,56000007,1,56000010,1,
288,21000018,15,65,21223,3249,0,2185,1691,"{type:4,param:80400001,value:-253900}",56000008,1,56000008,1,56000007,1,56000008,1,
289,21000019,0,1,0,0,0,0,0,,56000007,1,56000009,1,56000007,1,56000010,1,
290,21000019,1,1,596,0,182,47,60,"{type:4,param:80400001,value:-500}",56000007,1,56000008,1,56000010,1,56000008,1,
291,21000019,2,5,1192,0,365,94,119,"{type:4,param:80400001,value:-1000}",56000008,1,56000009,1,56000008,1,56000010,1,
292,21000019,3,5,1788,0,547,141,179,"{type:4,param:80400001,value:-3100}",56000009,1,56000007,1,56000009,1,56000007,1,
293,21000019,4,10,2980,0,912,234,298,"{type:4,param:80400001,value:-7200}",56000007,1,56000010,1,56000008,1,56000009,1,
294,21000019,5,15,3874,0,1186,305,387,"{type:4,param:80400001,value:-13700}",56000009,1,56000007,1,56000009,1,56000007,1,
295,21000019,6,20,4768,0,1459,375,476,"{type:4,param:80400001,value:-22800}",56000010,1,56000009,1,56000007,1,56000009,1,
296,21000019,7,25,5662,0,1733,445,566,"{type:4,param:80400001,value:-34800}",56000007,1,56000010,1,56000008,1,56000007,1,
297,21000019,8,30,7450,0,2280,586,744,"{type:4,param:80400001,value:-49900}",56000010,1,56000008,1,56000007,1,56000008,1,
298,21000019,9,35,8642,0,2645,680,863,"{type:4,param:80400001,value:-68100}",56000009,1,56000009,1,56000007,1,56000010,1,
299,21000019,10,40,9833,0,3010,773,982,"{type:4,param:80400001,value:-89800}",56000009,1,56000007,1,56000009,1,56000010,1,
300,21000019,11,45,11025,0,3374,867,1101,"{type:4,param:80400001,value:-115000}",56000009,1,56000007,1,56000009,1,56000010,1,
301,21000019,12,50,13409,0,4104,1055,1340,"{type:4,param:80400001,value:-143900}",56000010,1,56000009,1,56000010,1,56000008,1,
302,21000019,13,55,14899,0,4560,1172,1488,"{type:4,param:80400001,value:-176600}",56000008,1,56000009,1,56000007,1,56000009,1,
303,21000019,14,60,16389,0,5016,1289,1637,"{type:4,param:80400001,value:-213300}",56000010,1,56000010,1,56000008,1,56000009,1,
304,21000019,15,65,17879,0,5472,1406,1786,"{type:4,param:80400001,value:-253900}",56000007,1,56000010,1,56000007,1,56000007,1,
305,21000020,0,1,0,0,0,0,0,,56000008,1,56000009,1,56000008,1,56000010,1,
306,21000020,1,1,608,0,182,47,61,"{type:4,param:80400001,value:-500}",56000007,1,56000009,1,56000010,1,56000008,1,
307,21000020,2,5,1216,0,365,94,123,"{type:4,param:80400001,value:-1000}",56000007,1,56000009,1,56000007,1,56000009,1,
308,21000020,3,5,1824,0,547,141,184,"{type:4,param:80400001,value:-3100}",56000009,1,56000008,1,56000010,1,56000007,1,
309,21000020,4,10,3040,0,912,234,307,"{type:4,param:80400001,value:-7200}",56000010,1,56000010,1,56000008,1,56000010,1,
310,21000020,5,15,3952,0,1186,305,399,"{type:4,param:80400001,value:-13700}",56000010,1,56000008,1,56000010,1,56000007,1,
311,21000020,6,20,4864,0,1459,375,491,"{type:4,param:80400001,value:-22800}",56000008,1,56000010,1,56000007,1,56000010,1,
312,21000020,7,25,5776,0,1733,445,584,"{type:4,param:80400001,value:-34800}",56000008,1,56000007,1,56000008,1,56000007,1,
313,21000020,8,30,7600,0,2280,586,768,"{type:4,param:80400001,value:-49900}",56000008,1,56000008,1,56000007,1,56000009,1,
314,21000020,9,35,8816,0,2645,680,891,"{type:4,param:80400001,value:-68100}",56000009,1,56000010,1,56000008,1,56000010,1,
315,21000020,10,40,10032,0,3010,773,1014,"{type:4,param:80400001,value:-89800}",56000007,1,56000007,1,56000008,1,56000010,1,
316,21000020,11,45,11248,0,3374,867,1137,"{type:4,param:80400001,value:-115000}",56000008,1,56000010,1,56000009,1,56000007,1,
317,21000020,12,50,13680,0,4104,1055,1382,"{type:4,param:80400001,value:-143900}",56000010,1,56000009,1,56000010,1,56000008,1,
318,21000020,13,55,15200,0,4560,1172,1536,"{type:4,param:80400001,value:-176600}",56000007,1,56000010,1,56000007,1,56000010,1,
319,21000020,14,60,16720,0,5016,1289,1689,"{type:4,param:80400001,value:-213300}",56000007,1,56000010,1,56000007,1,56000009,1,
320,21000020,15,65,18240,0,5472,1406,1843,"{type:4,param:80400001,value:-253900}",56000010,1,56000008,1,56000008,1,56000010,1,
321,21000021,0,1,0,0,0,0,0,,56000008,1,56000010,1,56000007,1,56000009,1,
322,21000021,1,1,432,227,0,44,34,"{type:4,param:80400001,value:-500}",56000007,1,56000008,1,56000007,1,56000009,1,
323,21000021,2,5,864,454,0,88,68,"{type:4,param:80400001,value:-1000}",56000008,1,56000010,1,56000007,1,56000009,1,
324,21000021,3,5,1296,680,0,131,103,"{type:4,param:80400001,value:-3100}",56000009,1,56000007,1,56000009,1,56000008,1,
325,21000021,4,10,2160,1134,0,219,171,"{type:4,param:80400001,value:-7200}",56000008,1,56000009,1,56000007,1,56000009,1,
326,21000021,5,15,2808,1474,0,285,222,"{type:4,param:80400001,value:-13700}",56000009,1,56000007,1,56000010,1,56000008,1,
327,21000021,6,20,3456,1814,0,350,274,"{type:4,param:80400001,value:-22800}",56000007,1,56000009,1,56000007,1,56000009,1,
328,21000021,7,25,4104,2155,0,416,325,"{type:4,param:80400001,value:-34800}",56000008,1,56000010,1,56000008,1,56000007,1,
329,21000021,8,30,5400,2835,0,547,427,"{type:4,param:80400001,value:-49900}",56000009,1,56000009,1,56000007,1,56000009,1,
330,21000021,9,35,6264,3289,0,635,496,"{type:4,param:80400001,value:-68100}",56000007,1,56000010,1,56000008,1,56000009,1,
331,21000021,10,40,7128,3742,0,723,564,"{type:4,param:80400001,value:-89800}",56000007,1,56000007,1,56000009,1,56000007,1,
332,21000021,11,45,7992,4196,0,810,633,"{type:4,param:80400001,value:-115000}",56000008,1,56000007,1,56000008,1,56000010,1,
333,21000021,12,50,9720,5103,0,986,770,"{type:4,param:80400001,value:-143900}",56000007,1,56000008,1,56000007,1,56000008,1,
334,21000021,13,55,10800,5670,0,1095,855,"{type:4,param:80400001,value:-176600}",56000008,1,56000010,1,56000007,1,56000010,1,
335,21000021,14,60,11880,6237,0,1204,940,"{type:4,param:80400001,value:-213300}",56000010,1,56000010,1,56000007,1,56000009,1,
336,21000021,15,65,12960,6804,0,1314,1026,"{type:4,param:80400001,value:-253900}",56000007,1,56000010,1,56000009,1,56000008,1,
337,21000022,0,1,0,0,0,0,0,,56000007,1,56000009,1,56000007,1,56000010,1,
338,21000022,1,1,424,232,0,44,34,"{type:4,param:80400001,value:-500}",56000007,1,56000009,1,56000010,1,56000008,1,
339,21000022,2,5,847,463,0,88,68,"{type:4,param:80400001,value:-1000}",56000008,1,56000009,1,56000007,1,56000009,1,
340,21000022,3,5,1271,695,0,131,103,"{type:4,param:80400001,value:-3100}",56000009,1,56000007,1,56000010,1,56000008,1,
341,21000022,4,10,2118,1158,0,219,171,"{type:4,param:80400001,value:-7200}",56000008,1,56000010,1,56000007,1,56000009,1,
342,21000022,5,15,2753,1505,0,285,222,"{type:4,param:80400001,value:-13700}",56000008,1,56000008,1,56000010,1,56000008,1,
343,21000022,6,20,3389,1853,0,350,274,"{type:4,param:80400001,value:-22800}",56000007,1,56000010,1,56000008,1,56000010,1,
344,21000022,7,25,4024,2200,0,416,325,"{type:4,param:80400001,value:-34800}",56000007,1,56000007,1,56000009,1,56000010,1,
345,21000022,8,30,5295,2895,0,547,427,"{type:4,param:80400001,value:-49900}",56000008,1,56000009,1,56000010,1,56000009,1,
346,21000022,9,35,6142,3358,0,635,496,"{type:4,param:80400001,value:-68100}",56000009,1,56000009,1,56000007,1,56000010,1,
347,21000022,10,40,6989,3821,0,723,564,"{type:4,param:80400001,value:-89800}",56000007,1,56000010,1,56000009,1,56000007,1,
348,21000022,11,45,7837,4285,0,810,633,"{type:4,param:80400001,value:-115000}",56000009,1,56000007,1,56000008,1,56000010,1,
349,21000022,12,50,9531,5211,0,986,770,"{type:4,param:80400001,value:-143900}",56000007,1,56000009,1,56000010,1,56000009,1,
350,21000022,13,55,10590,5790,0,1095,855,"{type:4,param:80400001,value:-176600}",56000007,1,56000010,1,56000007,1,56000009,1,
351,21000022,14,60,11649,6369,0,1204,940,"{type:4,param:80400001,value:-213300}",56000007,1,56000009,1,56000008,1,56000010,1,
352,21000022,15,65,12708,6948,0,1314,1026,"{type:4,param:80400001,value:-253900}",56000009,1,56000010,1,56000008,1,56000010,1,
353,21000023,0,1,0,0,0,0,0,,56000008,1,56000010,1,56000008,1,56000010,1,
354,21000023,1,1,440,232,0,44,35,"{type:4,param:80400001,value:-500}",56000007,1,56000009,1,56000007,1,56000008,1,
355,21000023,2,5,881,463,0,88,71,"{type:4,param:80400001,value:-1000}",56000008,1,56000010,1,56000008,1,56000009,1,
356,21000023,3,5,1321,695,0,131,106,"{type:4,param:80400001,value:-3100}",56000010,1,56000008,1,56000009,1,56000007,1,
357,21000023,4,10,2202,1158,0,219,177,"{type:4,param:80400001,value:-7200}",56000008,1,56000009,1,56000008,1,56000009,1,
358,21000023,5,15,2863,1505,0,285,230,"{type:4,param:80400001,value:-13700}",56000008,1,56000008,1,56000009,1,56000008,1,
359,21000023,6,20,3523,1853,0,350,283,"{type:4,param:80400001,value:-22800}",56000008,1,56000010,1,56000007,1,56000010,1,
360,21000023,7,25,4184,2200,0,416,336,"{type:4,param:80400001,value:-34800}",56000007,1,56000007,1,56000008,1,56000007,1,
361,21000023,8,30,5505,2895,0,547,442,"{type:4,param:80400001,value:-49900}",56000010,1,56000007,1,56000008,1,56000009,1,
362,21000023,9,35,6386,3358,0,635,513,"{type:4,param:80400001,value:-68100}",56000007,1,56000008,1,56000009,1,56000010,1,
363,21000023,10,40,7267,3821,0,723,584,"{type:4,param:80400001,value:-89800}",56000008,1,56000009,1,56000010,1,56000007,1,
364,21000023,11,45,8147,4285,0,810,655,"{type:4,param:80400001,value:-115000}",56000009,1,56000010,1,56000008,1,56000007,1,
365,21000023,12,50,9909,5211,0,986,797,"{type:4,param:80400001,value:-143900}",56000007,1,56000009,1,56000010,1,56000009,1,
366,21000023,13,55,11010,5790,0,1095,885,"{type:4,param:80400001,value:-176600}",56000007,1,56000010,1,56000008,1,56000009,1,
367,21000023,14,60,12111,6369,0,1204,973,"{type:4,param:80400001,value:-213300}",56000010,1,56000010,1,56000007,1,56000009,1,
368,21000023,15,65,13212,6948,0,1314,1062,"{type:4,param:80400001,value:-253900}",56000010,1,56000008,1,56000009,1,56000010,1,
369,21000024,0,1,0,0,0,0,0,,56000007,1,56000009,1,56000008,1,56000009,1,
370,21000024,1,1,436,224,0,44,34,"{type:4,param:80400001,value:-500}",56000010,1,56000009,1,56000010,1,56000008,1,
371,21000024,2,5,872,449,0,88,68,"{type:4,param:80400001,value:-1000}",56000008,1,56000009,1,56000008,1,56000010,1,
372,21000024,3,5,1309,673,0,131,103,"{type:4,param:80400001,value:-3100}",56000010,1,56000007,1,56000009,1,56000008,1,
373,21000024,4,10,2181,1122,0,219,171,"{type:4,param:80400001,value:-7200}",56000008,1,56000009,1,56000008,1,56000009,1,
374,21000024,5,15,2835,1459,0,285,222,"{type:4,param:80400001,value:-13700}",56000010,1,56000008,1,56000010,1,56000008,1,
375,21000024,6,20,3490,1795,0,350,274,"{type:4,param:80400001,value:-22800}",56000008,1,56000009,1,56000007,1,56000010,1,
376,21000024,7,25,4144,2132,0,416,325,"{type:4,param:80400001,value:-34800}",56000008,1,56000007,1,56000008,1,56000010,1,
377,21000024,8,30,5452,2805,0,547,427,"{type:4,param:80400001,value:-49900}",56000010,1,56000008,1,56000007,1,56000009,1,
378,21000024,9,35,6325,3254,0,635,496,"{type:4,param:80400001,value:-68100}",56000007,1,56000010,1,56000007,1,56000010,1,
379,21000024,10,40,7197,3703,0,723,564,"{type:4,param:80400001,value:-89800}",56000007,1,56000010,1,56000008,1,56000010,1,
380,21000024,11,45,8070,4151,0,810,633,"{type:4,param:80400001,value:-115000}",56000008,1,56000010,1,56000008,1,56000010,1,
381,21000024,12,50,9815,5049,0,986,770,"{type:4,param:80400001,value:-143900}",56000010,1,56000009,1,56000007,1,56000009,1,
382,21000024,13,55,10905,5610,0,1095,855,"{type:4,param:80400001,value:-176600}",56000007,1,56000010,1,56000008,1,56000010,1,
383,21000024,14,60,11995,6171,0,1204,940,"{type:4,param:80400001,value:-213300}",56000008,1,56000009,1,56000007,1,56000010,1,
384,21000024,15,65,13086,6732,0,1314,1026,"{type:4,param:80400001,value:-253900}",56000010,1,56000009,1,56000009,1,56000007,1,
385,21000025,0,1,0,0,0,0,0,,56000007,1,56000010,1,56000008,1,56000010,1,
386,21000025,1,1,424,0,229,34,44,"{type:4,param:80400001,value:-500}",56000007,1,56000008,1,56000010,1,56000009,1,
387,21000025,2,5,847,0,458,68,88,"{type:4,param:80400001,value:-1000}",56000008,1,56000010,1,56000007,1,56000010,1,
388,21000025,3,5,1271,0,688,103,131,"{type:4,param:80400001,value:-3100}",56000009,1,56000007,1,56000010,1,56000007,1,
389,21000025,4,10,2118,0,1146,171,219,"{type:4,param:80400001,value:-7200}",56000007,1,56000009,1,56000007,1,56000009,1,
390,21000025,5,15,2753,0,1490,222,285,"{type:4,param:80400001,value:-13700}",56000008,1,56000008,1,56000009,1,56000007,1,
391,21000025,6,20,3389,0,1834,274,350,"{type:4,param:80400001,value:-22800}",56000010,1,56000009,1,56000008,1,56000010,1,
392,21000025,7,25,4024,0,2177,325,416,"{type:4,param:80400001,value:-34800}",56000008,1,56000007,1,56000008,1,56000010,1,
393,21000025,8,30,5295,0,2865,427,547,"{type:4,param:80400001,value:-49900}",56000007,1,56000008,1,56000007,1,56000008,1,
394,21000025,9,35,6142,0,3323,496,635,"{type:4,param:80400001,value:-68100}",56000009,1,56000010,1,56000007,1,56000009,1,
395,21000025,10,40,6989,0,3782,564,723,"{type:4,param:80400001,value:-89800}",56000009,1,56000010,1,56000009,1,56000010,1,
396,21000025,11,45,7837,0,4240,633,810,"{type:4,param:80400001,value:-115000}",56000008,1,56000007,1,56000008,1,56000010,1,
397,21000025,12,50,9531,0,5157,770,986,"{type:4,param:80400001,value:-143900}",56000007,1,56000008,1,56000010,1,56000009,1,
398,21000025,13,55,10590,0,5730,855,1095,"{type:4,param:80400001,value:-176600}",56000008,1,56000010,1,56000007,1,56000010,1,
399,21000025,14,60,11649,0,6303,940,1204,"{type:4,param:80400001,value:-213300}",56000010,1,56000009,1,56000007,1,56000009,1,
400,21000025,15,65,12708,0,6876,1026,1314,"{type:4,param:80400001,value:-253900}",56000008,1,56000008,1,56000007,1,56000010,1,
401,21000026,0,1,0,0,0,0,0,,56000007,1,56000010,1,56000007,1,56000009,1,
402,21000026,1,1,428,0,222,35,44,"{type:4,param:80400001,value:-500}",56000007,1,56000009,1,56000007,1,56000009,1,
403,21000026,2,5,856,0,444,70,88,"{type:4,param:80400001,value:-1000}",56000007,1,56000010,1,56000007,1,56000010,1,
404,21000026,3,5,1283,0,666,104,131,"{type:4,param:80400001,value:-3100}",56000009,1,56000008,1,56000009,1,56000008,1,
405,21000026,4,10,2139,0,1110,174,219,"{type:4,param:80400001,value:-7200}",56000007,1,56000010,1,56000007,1,56000010,1,
406,21000026,5,15,2781,0,1443,226,285,"{type:4,param:80400001,value:-13700}",56000008,1,56000007,1,56000010,1,56000008,1,
407,21000026,6,20,3422,0,1776,278,350,"{type:4,param:80400001,value:-22800}",56000008,1,56000010,1,56000007,1,56000009,1,
408,21000026,7,25,4064,0,2109,331,416,"{type:4,param:80400001,value:-34800}",56000009,1,56000010,1,56000009,1,56000010,1,
409,21000026,8,30,5347,0,2775,435,547,"{type:4,param:80400001,value:-49900}",56000010,1,56000008,1,56000010,1,56000009,1,
410,21000026,9,35,6203,0,3219,505,635,"{type:4,param:80400001,value:-68100}",56000010,1,56000009,1,56000008,1,56000010,1,
411,21000026,10,40,7059,0,3663,574,723,"{type:4,param:80400001,value:-89800}",56000008,1,56000007,1,56000009,1,56000007,1,
412,21000026,11,45,7914,0,4107,644,810,"{type:4,param:80400001,value:-115000}",56000008,1,56000007,1,56000008,1,56000010,1,
413,21000026,12,50,9626,0,4995,783,986,"{type:4,param:80400001,value:-143900}",56000010,1,56000008,1,56000007,1,56000009,1,
