"技能id{id,int}(id,number)","技能名称(name,string)","技能描述(description,string)","前置技能1{pre_1_id,int}(pre_skill_1,number)","前置技能2{pre_2_id,int}(pre_skill_2,number)","技能图标(icon,string)","技能类型{type,int}(type,number)","开启SP消耗{need_sp,int}(sp_cost,number)","效果目标1{effect_1_targets, int}(target_1,number)","效果条件组1{effect_1_conditions, ints}(condition_1,array)","效果id组1{effects_1,ints}(buff_id_1,array)","效果触发点组1{effect_1_trigger_points,ints}(trigger_1,array|number)","效果生效点组1{effect_1_take_effects, ints}(execute_1,array)","持续类型组1(continue_1,array){continue_1,ints}","效果目标2{effect_2_targets, int}(target_2,number)","效果条件组2{effect_2_conditions, ints}(condition_2,array)","效果id组2{effects_2,ints}(buff_id_2,array)","效果触发点组2{effect_2_trigger_points,ints}(trigger_2,array)","效果生效点组2{effect_2_take_effects, ints}(execute_2,array)","持续类型组2(continue_2,array){continue_2,ints}","效果目标3{effect_3_targets, int}(target_3,number)","效果条件组3{effect_3_conditions, ints}(condition_3,array)","效果id组3{effects_3,ints}(buff_id_3,array)","效果触发点组3{effect_3_trigger_points,ints}(trigger_3,array)","效果生效点组3{effect_3_take_effects, ints}(execute_3,array)","持续类型组3(continue_3,array){continue_3,ints}","装备颜色&武器编码组{limit_weapons, ints}(career_limit,array)","装备兵种编码{limit_arms, ints}(arms_limit,array)",限制条件描述
21510075,攻击防守的羁绊1,和我方相邻时，自身在战斗中的攻击及防守+3,0,0,,4,60,2,{22161001},"{22201303,22201503}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510076,攻击防守的羁绊2,和我方相邻时，自身在战斗中的攻击及防守+4,21510075,0,,4,120,2,{22161001},"{22201304,22201504}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510077,攻击防守的羁绊3,和我方相邻时，自身在战斗中的攻击及防守+5,21510076,0,,4,240,2,{22161001},"{22201305,22201505}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510078,攻击魔防的羁绊1,和我方相邻时，自身在战斗中的攻击及魔防+3,0,0,,4,60,2,{22161001},"{22201303,22201603}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510079,攻击魔防的羁绊2,和我方相邻时，自身在战斗中的攻击及魔防+4,21510078,0,,4,120,2,{22161001},"{22201304,22201604}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510080,攻击魔防的羁绊3,和我方相邻时，自身在战斗中的攻击及魔防+5,21510079,0,,4,240,2,{22161001},"{22201305,22201605}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510081,速度防守的羁绊1,和我方相邻时，自身在战斗中的速度及防守+3,0,0,,4,60,2,{22161001},"{22201403,22201503}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510082,速度防守的羁绊2,和我方相邻时，自身在战斗中的速度及防守+4,21510081,0,,4,120,2,{22161001},"{22201404,22201504}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510083,速度防守的羁绊3,和我方相邻时，自身在战斗中的速度及防守+5,21510082,0,,4,240,2,{22161001},"{22201405,22201505}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510084,速度魔防的羁绊1,和我方相邻时，自身在战斗中的速度及魔防+3,0,0,,4,60,2,{22161001},"{22201403,22201603}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510085,速度魔防的羁绊2,和我方相邻时，自身在战斗中的速度及魔防+4,21510084,0,,4,120,2,{22161001},"{22201404,22201604}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510086,速度魔防的羁绊3,和我方相邻时，自身在战斗中的速度及魔防+5,21510085,0,,4,240,2,{22161001},"{22201405,22201605}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510087,强化互克1,三角互克有利时，攻击再+10%，三角互克不利时，攻击再-10%,0,0,,4,50,2,{},{22206001},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,5,6,7,9,10,11,13,14,15,17,18,19,21,22,23,25,26,27,29,30,31}","{1,2,3,4}",
21510088,强化互克2,三角互克有利时，攻击再+15%，三角互克不利时，攻击再-15%,21510087,0,,4,100,2,{},{22206002},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,5,6,7,9,10,11,13,14,15,17,18,19,21,22,23,25,26,27,29,30,31}","{1,2,3,4}",
21510089,强化互克3,三角互克有利时，攻击再+20%，三角互克不利时，攻击再-20%,21510088,0,,4,200,2,{},{22206002},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,5,6,7,9,10,11,13,14,15,17,18,19,21,22,23,25,26,27,29,30,31}","{1,2,3,4}",
21510090,生命业火1,若进入战斗时，HP高于敌人3以上，战斗中的攻击+2,0,0,,4,50,2,{22127002},{22201302},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510091,生命业火2,若进入战斗时，HP高于敌人3以上，战斗中的攻击+4,21510090,0,,4,100,2,{22127002},{22201304},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510092,生命业火3,若进入战斗时，HP高于敌人3以上，战斗中的攻击+6,21510091,0,,4,200,2,{22127002},{22201306},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510093,生命疾风1,若进入战斗时，HP高于敌人3以上，战斗中的速度+2,0,0,,4,50,2,{22127002},{22201402},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510094,生命疾风2,若进入战斗时，HP高于敌人3以上，战斗中的速度+4,21510093,0,,4,100,2,{22127002},{22201404},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510095,生命疾风3,若进入战斗时，HP高于敌人3以上，战斗中的速度+6,21510094,0,,4,200,2,{22127002},{22201406},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510096,生命的大地1,若进入战斗时，HP高于敌人3以上，战斗中的防守+2,0,0,,4,50,2,{22127002},{22201502},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510097,生命的大地2,若进入战斗时，HP高于敌人3以上，战斗中的防守+4,21510096,0,,4,100,2,{22127002},{22201504},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510098,生命的大地3,若进入战斗时，HP高于敌人3以上，战斗中的防守+6,21510097,0,,4,200,2,{22127002},{22201506},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510099,生命静水1,若进入战斗时，HP高于敌人3以上，战斗中的魔防+2,0,0,,4,50,2,{22127002},{22201602},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510100,生命静水2,若进入战斗时，HP高于敌人3以上，战斗中的魔防+4,21510099,0,,4,100,2,{22127002},{22201604},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510101,生命静水3,若进入战斗时，HP高于敌人3以上，战斗中的魔防+6,21510100,0,,4,200,2,{22127002},{22201606},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510102,刚剑1,攻击高于敌人5以上时，自身攻击造成的奥义发动计量变化量+1(若有多个相同系统效果，取最大值),0,0,,4,60,2,{22128001},{22205001},{23},{30},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2}",
21510103,刚剑2,攻击高于敌人3以上时，自身攻击造成的奥义发动计量变化量+1(若有多个相同系统效果，取最大值),21510102,0,,4,120,2,{22128002},{22205001},{23},{30},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2}",
21510104,刚剑3,攻击高于敌人时，自身攻击造成的奥义发动计量变化量+1(若有多个相同系统效果，取最大值),21510103,0,,4,240,2,{22128003},{22205001},{23},{30},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2}",
21510105,柔剑1,速度高于敌人5以上时，自身攻击造成的奥义发动计量变化量+1(若有多个相同系统效果，取最大值),0,0,,4,60,2,{22129001},{22205001},{23},{30},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2}",
21510106,柔剑2,速度高于敌人3以上时，自身攻击造成的奥义发动计量变化量+1(若有多个相同系统效果，取最大值),21510105,0,,4,120,2,{22129002},{22205001},{23},{30},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2}",
21510107,柔剑3,速度高于敌人时，自身攻击造成的奥义发动计量变化量+1(若有多个相同系统效果，取最大值),21510106,0,,4,240,2,{22129003},{22205001},{23},{30},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2}",
21510108,鬼神一击1,由自身发动攻击时，战斗中的攻击+2,0,0,,4,50,2,{22101001},{22201302},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510109,鬼神一击2,由自身发动攻击时，战斗中的攻击+4,21510108,0,,4,100,2,{22101001},{22201304},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510110,鬼神一击3,由自身发动攻击时，战斗中的攻击+6,21510109,0,,4,200,2,{22101001},{22201306},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510111,飞燕一击1,由自身发动攻击时，战斗中的速度+2,0,0,,4,50,2,{22101001},{22201402},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510112,飞燕一击2,由自身发动攻击时，战斗中的速度+4,21510111,0,,4,100,2,{22101001},{22201404},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510113,飞燕一击3,由自身发动攻击时，战斗中的速度+6,21510112,0,,4,200,2,{22101001},{22201406},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510114,金刚一击1,由自身发动攻击时，战斗中的防守+2,0,0,,4,50,2,{22101001},{22201502},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510115,金刚一击2,由自身发动攻击时，战斗中的防守+4,21510114,0,,4,100,2,{22101001},{22201504},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510116,金刚一击3,由自身发动攻击时，战斗中的防守+6,21510115,0,,4,200,2,{22101001},{22201506},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510117,明镜一击1,由自身发动攻击时，战斗中的魔防+2,0,0,,4,50,2,{22101001},{22201602},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510118,明镜一击2,由自身发动攻击时，战斗中的魔防+4,21510117,0,,4,100,2,{22101001},{22201604},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510119,明镜一击3,由自身发动攻击时，战斗中的魔防+6,21510118,0,,4,200,2,{22101001},{22201606},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510120,鬼神飞燕击1,由自身发动攻击时，战斗中的攻击及速度+2,21510111,21510108,,4,120,2,{22101001},"{22201302,22201402}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510121,鬼神飞燕击2,由自身发动攻击时，战斗中的攻击及速度+4,21510120,0,,4,240,2,{22101001},"{22201304,22201404}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510122,鬼神金刚击1,由自身发动攻击时，战斗中的攻击及防守+2,21510114,21510108,,4,120,2,{22101001},"{22201302,22201502}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510123,鬼神金刚击2,由自身发动攻击时，战斗中的攻击及防守+4,21510122,0,,4,240,2,{22101001},"{22201304,22201504}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510124,鬼神明镜击1,由自身发动攻击时，战斗中的攻击及魔防+2,21510117,21510108,,4,120,2,{22101001},"{22201302,22201602}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510125,鬼神明镜击2,由自身发动攻击时，战斗中的攻击及魔防+4,21510124,0,,4,240,2,{22101001},"{22201304,22201604}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510126,飞燕金刚击1,由自身发动攻击时，战斗中的速度及防守+2,21510114,21510111,,4,120,2,{22101001},"{22201402,22201502}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510127,飞燕金刚击2,由自身发动攻击时，战斗中的速度及防守+4,21510126,0,,4,240,2,{22101001},"{22201404,22201504}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510128,飞燕明镜击1,由自身发动攻击时，战斗中的速度及魔防+2,21510117,21510111,,4,120,2,{22101001},"{22201402,22201602}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510129,飞燕明镜击2,由自身发动攻击时，战斗中的速度及魔防+4,21510128,0,,4,240,2,{22101001},"{22201404,22201604}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510130,金刚明镜击1,由自身发动攻击时，战斗中的防守及魔防+2,21510117,21510114,,4,120,2,{22101001},"{22201502,22201602}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510131,金刚明镜击2,由自身发动攻击时，战斗中的防守及魔防+4,21510130,0,,4,240,2,{22101001},"{22201504,22201604}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510132,鬼神架势1,受到敌人攻击时，战斗中的攻击+2,0,0,,4,50,2,{22102001},{22201302},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510133,鬼神架势2,受到敌人攻击时，战斗中的攻击+4,21510132,0,,4,100,2,{22102001},{22201304},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510134,鬼神架势3,受到敌人攻击时，战斗中的攻击+6,21510133,0,,4,200,2,{22102001},{22201306},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510135,飞燕架势1,受到敌人攻击时，战斗中的速度+2,0,0,,4,50,2,{22102001},{22201402},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510136,飞燕架势2,受到敌人攻击时，战斗中的速度+4,21510135,0,,4,100,2,{22102001},{22201404},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510137,飞燕架势3,受到敌人攻击时，战斗中的速度+6,21510136,0,,4,200,2,{22102001},{22201406},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510138,金刚架势1,受到敌人攻击时，战斗中的防守+2,0,0,,4,50,2,{22102001},{22201502},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510139,金刚架势2,受到敌人攻击时，战斗中的防守+4,21510138,0,,4,100,2,{22102001},{22201504},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510140,金刚架势3,受到敌人攻击时，战斗中的防守+6,21510139,0,,4,200,2,{22102001},{22201506},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510141,明镜架势1,受到敌人攻击时，战斗中的魔防+2,0,0,,4,50,2,{22102001},{22201602},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510142,明镜架势2,受到敌人攻击时，战斗中的魔防+4,21510141,0,,4,100,2,{22102001},{22201604},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510143,明镜架势3,受到敌人攻击时，战斗中的魔防+6,21510142,0,,4,200,2,{22102001},{22201606},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510144,鬼神飞燕架势1,受到敌人攻击时，战斗中的攻击及速度+2,21510135,21510132,,4,120,2,{22102001},"{22201302,22201402}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510145,鬼神飞燕架势2,受到敌人攻击时，战斗中的攻击及速度+4,21510144,0,,4,240,2,{22102001},"{22201304,22201404}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510146,鬼神金刚架势1,受到敌人攻击时，战斗中的攻击及防守+2,21510138,21510132,,4,120,2,{22102001},"{22201302,22201502}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510147,鬼神金刚架势2,受到敌人攻击时，战斗中的攻击及防守+4,21510146,0,,4,240,2,{22102001},"{22201304,22201504}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510148,鬼神明镜架势1,受到敌人攻击时，战斗中的攻击及魔防+2,21510141,21510132,,4,120,2,{22102001},"{22201302,22201602}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510149,鬼神明镜架势2,受到敌人攻击时，战斗中的攻击及魔防+4,21510148,0,,4,240,2,{22102001},"{22201304,22201604}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510150,飞燕明镜架势1,受到敌人攻击时，战斗中的速度及魔防+2,21510141,21510135,,4,120,2,{22102001},"{22201402,22201602}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
