"ID{id,int}(idx)","装备类型{equipType,int}(num,equipType)","宝石等级{lv,int}(num,lv)","镶嵌等级（装备强化等级）","品质{qua,int}(num,qua)","属性条数随机权重{attSizeRate,json_intmap}(json,attSizeRate)","属性区间随机权重{attRate,ints}(fun,attRate)","对应的属性类型{attType,ints}(fun,attType)","对应的属性计算类型{calType,ints}(fun,calType)","对应属性区间的属性范围{attRange,json_intAry}(json,attRange)","图标(int,img)","名称(str,nm)","描述(str,desc)","大图标(str,BigImg)",
56800162,2,3,60,1,{1:1},{-1},{2},{2},"[[32,35]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800163,2,3,60,1,{1:1},{-1},{2},{2},"[[35,38]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800164,2,3,60,1,{1:1},{-1},{2},{2},"[[38,41]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800165,2,3,60,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[44,47],[744,790]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800166,2,3,60,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[47,49],[790,837]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800167,2,3,60,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[49,52],[837,883]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800168,2,3,60,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[52,55],[883,930]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800169,2,3,60,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[61,64],[1031,1080],[900,1000]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800170,2,3,60,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[64,67],[1080,1129],[900,1000]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800171,2,3,60,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[67,70],[1129,1178],[900,1000]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800172,2,3,60,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[70,73],[1178,1227],[900,1000]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800173,2,3,60,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[73,79],[1240,1343],[1100,1200],[1100,1200]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800174,2,3,60,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[79,86],[1343,1447],[1100,1200],[1100,1200]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800175,2,3,60,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[86,92],[1447,1550],[1100,1200],[1100,1200]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800176,2,3,60,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[92,98],[1550,1653],[1100,1200],[1100,1200]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800177,2,4,80,1,{1:1},{-1},{2},{2},"[[40,43]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800178,2,4,80,1,{1:1},{-1},{2},{2},"[[43,47]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800179,2,4,80,1,{1:1},{-1},{2},{2},"[[47,51]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800180,2,4,80,1,{1:1},{-1},{2},{2},"[[51,54]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800181,2,4,80,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[59,62],[992,1054]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800182,2,4,80,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[62,66],[1054,1116]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800183,2,4,80,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[66,70],[1116,1178]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800184,2,4,80,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[70,73],[1178,1240]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800185,2,4,80,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[81,85],[1374,1440],[1300,1400]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800186,2,4,80,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[85,89],[1440,1505],[1300,1400]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800187,2,4,80,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[89,93],[1505,1571],[1300,1400]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800188,2,4,80,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[93,97],[1571,1636],[1300,1400]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800189,2,4,80,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[98,106],[1653,1791],[1500,1600],[1500,1600]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800190,2,4,80,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[106,114],[1791,1929],[1500,1600],[1500,1600]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800191,2,4,80,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[114,123],[1929,2067],[1500,1600],[1500,1600]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800192,2,4,80,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[123,131],[2067,2205],[1500,1600],[1500,1600]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800193,2,5,100,1,{1:1},{-1},{2},{2},"[[50,54]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800194,2,5,100,1,{1:1},{-1},{2},{2},"[[54,59]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800195,2,5,100,1,{1:1},{-1},{2},{2},"[[59,63]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800196,2,5,100,1,{1:1},{-1},{2},{2},"[[63,68]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800197,2,5,100,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[73,78],[1240,1317]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800198,2,5,100,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[78,83],[1317,1395]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800199,2,5,100,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[83,87],[1395,1472]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800200,2,5,100,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[87,92],[1472,1550]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800201,2,5,100,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[102,107],[1718,1800],[1700,1800]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800202,2,5,100,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[107,112],[1800,1882],[1700,1800]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800203,2,5,100,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[112,116],[1882,1963],[1700,1800]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800204,2,5,100,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[116,121],[1963,2045],[1700,1800]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800205,2,5,100,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[123,133],[2067,2239],[1900,2000],[1900,2000]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800206,2,5,100,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[133,143],[2239,2411],[1900,2000],[1900,2000]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800207,2,5,100,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[143,153],[2411,2583],[1900,2000],[1900,2000]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800208,2,5,100,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[153,164],[2583,2756],[1900,2000],[1900,2000]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800209,2,6,120,1,{1:1},{-1},{2},{2},"[[60,65]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800210,2,6,120,1,{1:1},{-1},{2},{2},"[[65,71]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800211,2,6,120,1,{1:1},{-1},{2},{2},"[[71,76]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800212,2,6,120,1,{1:1},{-1},{2},{2},"[[76,82]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800213,2,6,120,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[88,94],[1488,1581]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800214,2,6,120,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[94,99],[1581,1674]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800215,2,6,120,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[99,105],[1674,1767]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800216,2,6,120,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[105,110],[1767,1860]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800217,2,6,120,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[122,128],[2062,2160],[2100,2200]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800218,2,6,120,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[128,134],[2160,2258],[2100,2200]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800219,2,6,120,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[134,140],[2258,2356],[2100,2200]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800220,2,6,120,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[140,146],[2356,2454],[2100,2200]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800221,2,6,120,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[147,159],[2480,2687],[2300,2400],[2300,2400]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800222,2,6,120,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[159,172],[2687,2894],[2300,2400],[2300,2400]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800223,2,6,120,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[172,184],[2894,3100],[2300,2400],[2300,2400]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800224,2,6,120,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[184,196],[3100,3307],[2300,2400],[2300,2400]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800225,2,7,140,1,{1:1},{-1},{2},{2},"[[70,76]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800226,2,7,140,1,{1:1},{-1},{2},{2},"[[76,83]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800227,2,7,140,1,{1:1},{-1},{2},{2},"[[83,89]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800228,2,7,140,1,{1:1},{-1},{2},{2},"[[89,95]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800229,2,7,140,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[103,109],[1736,1844]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800230,2,7,140,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[109,116],[1844,1953]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800231,2,7,140,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[116,122],[1953,2062]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800232,2,7,140,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[122,129],[2062,2170]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800233,2,7,140,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[143,150],[2405,2520],[2500,2600]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800234,2,7,140,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[150,156],[2520,2634],[2500,2600]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800235,2,7,140,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[156,163],[2634,2749],[2500,2600]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800236,2,7,140,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[163,170],[2749,2863],[2500,2600]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800237,2,7,140,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[172,186],[2894,3135],[2700,2800],[2700,2800]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800238,2,7,140,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[186,200],[3135,3376],[2700,2800],[2700,2800]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800239,2,7,140,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[200,215],[3376,3617],[2700,2800],[2700,2800]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800240,2,7,140,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[215,229],[3617,3858],[2700,2800],[2700,2800]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800241,2,8,160,1,{1:1},{-1},{2},{2},"[[80,87]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800242,2,8,160,1,{1:1},{-1},{2},{2},"[[87,94]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800243,2,8,160,1,{1:1},{-1},{2},{2},"[[94,102]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800244,2,8,160,1,{1:1},{-1},{2},{2},"[[102,109]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800245,2,8,160,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[118,125],[1984,2108]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800246,2,8,160,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[125,132],[2108,2232]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800247,2,8,160,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[132,140],[2232,2356]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800248,2,8,160,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[140,147],[2356,2480]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800249,2,8,160,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[163,171],[2749,2880],[2900,3000]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800250,2,8,160,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[171,179],[2880,3011],[2900,3000]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800251,2,8,160,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[179,187],[3011,3142],[2900,3000]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800252,2,8,160,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[187,194],[3142,3273],[2900,3000]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800253,2,8,160,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[196,213],[3307,3583],[3100,3200],[3100,3200]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800254,2,8,160,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[213,229],[3583,3858],[3100,3200],[3100,3200]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800255,2,8,160,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[229,246],[3858,4134],[3100,3200],[3100,3200]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800256,2,8,160,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[246,262],[4134,4410],[3100,3200],[3100,3200]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800257,3,1,20,1,{1:1},{-1},{51},{2},"[[24,26]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800258,3,1,20,1,{1:1},{-1},{51},{2},"[[26,28]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800259,3,1,20,1,{1:1},{-1},{51},{2},"[[28,30]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800260,3,1,20,1,{1:1},{-1},{51},{2},"[[30,32]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800261,3,1,20,2,{2:1},"{-1,-1}","{51,2}","{2,2}","[[35,37],[27,28]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800262,3,1,20,2,{2:1},"{-1,-1}","{51,2}","{2,2}","[[37,39],[28,30]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800263,3,1,20,2,{2:1},"{-1,-1}","{51,2}","{2,2}","[[39,42],[30,32]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800264,3,1,20,2,{2:1},"{-1,-1}","{51,2}","{2,2}","[[42,44],[32,33]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800265,3,1,20,3,{3:1},"{-1,-1,-1}","{51,2,51}","{2,2,3}","[[49,51],[37,39],[100,200]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800266,3,1,20,3,{3:1},"{-1,-1,-1}","{51,2,51}","{2,2,3}","[[51,53],[39,41],[100,200]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800267,3,1,20,3,{3:1},"{-1,-1,-1}","{51,2,51}","{2,2,3}","[[53,56],[41,43],[100,200]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800268,3,1,20,3,{3:1},"{-1,-1,-1}","{51,2,51}","{2,2,3}","[[56,58],[43,44],[100,200]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800269,3,1,20,4,{4:1},"{-1,-1,-1,-1}","{51,2,51,2}","{2,2,3,3}","[[59,63],[45,49],[300,400],[300,400]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800270,3,1,20,4,{4:1},"{-1,-1,-1,-1}","{51,2,51,2}","{2,2,3,3}","[[63,68],[49,52],[300,400],[300,400]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800271,3,1,20,4,{4:1},"{-1,-1,-1,-1}","{51,2,51,2}","{2,2,3,3}","[[68,73],[52,56],[300,400],[300,400]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800272,3,1,20,4,{4:1},"{-1,-1,-1,-1}","{51,2,51,2}","{2,2,3,3}","[[73,78],[56,60],[300,400],[300,400]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800273,3,2,40,1,{1:1},{-1},{51},{2},"[[48,52]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800274,3,2,40,1,{1:1},{-1},{51},{2},"[[52,56]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800275,3,2,40,1,{1:1},{-1},{51},{2},"[[56,61]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800276,3,2,40,1,{1:1},{-1},{51},{2},"[[61,65]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800277,3,2,40,2,{2:1},"{-1,-1}","{51,2}","{2,2}","[[70,75],[54,57]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800278,3,2,40,2,{2:1},"{-1,-1}","{51,2}","{2,2}","[[75,79],[57,61]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800279,3,2,40,2,{2:1},"{-1,-1}","{51,2}","{2,2}","[[79,84],[61,64]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800280,3,2,40,2,{2:1},"{-1,-1}","{51,2}","{2,2}","[[84,88],[64,67]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800281,3,2,40,3,{3:1},"{-1,-1,-1}","{51,2,51}","{2,2,3}","[[98,102],[75,78],[500,600]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800282,3,2,40,3,{3:1},"{-1,-1,-1}","{51,2,51}","{2,2,3}","[[102,107],[78,82],[500,600]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800283,3,2,40,3,{3:1},"{-1,-1,-1}","{51,2,51}","{2,2,3}","[[107,112],[82,86],[500,600]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800284,3,2,40,3,{3:1},"{-1,-1,-1}","{51,2,51}","{2,2,3}","[[112,116],[86,89],[500,600]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800285,3,2,40,4,{4:1},"{-1,-1,-1,-1}","{51,2,51,2}","{2,2,3,3}","[[118,127],[90,98],[700,800],[700,800]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800286,3,2,40,4,{4:1},"{-1,-1,-1,-1}","{51,2,51,2}","{2,2,3,3}","[[127,137],[98,105],[700,800],[700,800]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800287,3,2,40,4,{4:1},"{-1,-1,-1,-1}","{51,2,51,2}","{2,2,3,3}","[[137,147],[105,113],[700,800],[700,800]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800288,3,2,40,4,{4:1},"{-1,-1,-1,-1}","{51,2,51,2}","{2,2,3,3}","[[147,157],[113,120],[700,800],[700,800]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800289,3,3,60,1,{1:1},{-1},{51},{2},"[[72,78]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800290,3,3,60,1,{1:1},{-1},{51},{2},"[[78,85]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800291,3,3,60,1,{1:1},{-1},{51},{2},"[[85,91]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800292,3,3,60,1,{1:1},{-1},{51},{2},"[[91,98]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800293,3,3,60,2,{2:1},"{-1,-1}","{51,2}","{2,2}","[[106,112],[81,86]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800294,3,3,60,2,{2:1},"{-1,-1}","{51,2}","{2,2}","[[112,119],[86,91]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800295,3,3,60,2,{2:1},"{-1,-1}","{51,2}","{2,2}","[[119,126],[91,96]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800296,3,3,60,2,{2:1},"{-1,-1}","{51,2}","{2,2}","[[126,132],[96,101]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800297,3,3,60,3,{3:1},"{-1,-1,-1}","{51,2,51}","{2,2,3}","[[147,154],[112,118],[900,1000]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800298,3,3,60,3,{3:1},"{-1,-1,-1}","{51,2,51}","{2,2,3}","[[154,161],[118,123],[900,1000]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800299,3,3,60,3,{3:1},"{-1,-1,-1}","{51,2,51}","{2,2,3}","[[161,168],[123,129],[900,1000]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800300,3,3,60,3,{3:1},"{-1,-1,-1}","{51,2,51}","{2,2,3}","[[168,175],[129,134],[900,1000]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800301,3,3,60,4,{4:1},"{-1,-1,-1,-1}","{51,2,51,2}","{2,2,3,3}","[[177,191],[135,147],[1100,1200],[1100,1200]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800302,3,3,60,4,{4:1},"{-1,-1,-1,-1}","{51,2,51,2}","{2,2,3,3}","[[191,206],[147,158],[1100,1200],[1100,1200]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800303,3,3,60,4,{4:1},"{-1,-1,-1,-1}","{51,2,51,2}","{2,2,3,3}","[[206,221],[158,169],[1100,1200],[1100,1200]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800304,3,3,60,4,{4:1},"{-1,-1,-1,-1}","{51,2,51,2}","{2,2,3,3}","[[221,236],[169,181],[1100,1200],[1100,1200]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800305,3,4,80,1,{1:1},{-1},{51},{2},"[[96,105]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800306,3,4,80,1,{1:1},{-1},{51},{2},"[[105,113]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800307,3,4,80,1,{1:1},{-1},{51},{2},"[[113,122]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800308,3,4,80,1,{1:1},{-1},{51},{2},"[[122,131]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800309,3,4,80,2,{2:1},"{-1,-1}","{51,2}","{2,2}","[[141,150],[108,115]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800310,3,4,80,2,{2:1},"{-1,-1}","{51,2}","{2,2}","[[150,159],[115,122]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800311,3,4,80,2,{2:1},"{-1,-1}","{51,2}","{2,2}","[[159,168],[122,129]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800312,3,4,80,2,{2:1},"{-1,-1}","{51,2}","{2,2}","[[168,177],[129,135]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800313,3,4,80,3,{3:1},"{-1,-1,-1}","{51,2,51}","{2,2,3}","[[196,205],[150,157],[1300,1400]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800314,3,4,80,3,{3:1},"{-1,-1,-1}","{51,2,51}","{2,2,3}","[[205,215],[157,164],[1300,1400]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800315,3,4,80,3,{3:1},"{-1,-1,-1}","{51,2,51}","{2,2,3}","[[215,224],[164,172],[1300,1400]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800316,3,4,80,3,{3:1},"{-1,-1,-1}","{51,2,51}","{2,2,3}","[[224,233],[172,179],[1300,1400]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800317,3,4,80,4,{4:1},"{-1,-1,-1,-1}","{51,2,51,2}","{2,2,3,3}","[[236,255],[181,196],[1500,1600],[1500,1600]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800318,3,4,80,4,{4:1},"{-1,-1,-1,-1}","{51,2,51,2}","{2,2,3,3}","[[255,275],[196,211],[1500,1600],[1500,1600]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800319,3,4,80,4,{4:1},"{-1,-1,-1,-1}","{51,2,51,2}","{2,2,3,3}","[[275,295],[211,226],[1500,1600],[1500,1600]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800320,3,4,80,4,{4:1},"{-1,-1,-1,-1}","{51,2,51,2}","{2,2,3,3}","[[295,315],[226,241],[1500,1600],[1500,1600]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800321,3,5,100,1,{1:1},{-1},{51},{2},"[[120,131]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800322,3,5,100,1,{1:1},{-1},{51},{2},"[[131,142]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800323,3,5,100,1,{1:1},{-1},{51},{2},"[[142,153]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800324,3,5,100,1,{1:1},{-1},{51},{2},"[[153,164]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800325,3,5,100,2,{2:1},"{-1,-1}","{51,2}","{2,2}","[[177,188],[135,144]]",10045015,红宝石,这个是一颗红宝石。,10045015,
