"技能id{id,int}(id,number)","技能名称(name,string)","技能描述(description,string)","前置技能1{pre_1_id,int}(pre_skill_1,number)","前置技能2{pre_2_id,int}(pre_skill_2,number)","技能图标(icon,string)","威力{power,int}(power,number)","射程{range,int}(range,number)","武器类型{weapon_type,int}(weapon_type,number)","技能类型{type,int}(type,number)","开启SP消耗{need_sp,int}(sp_cost,number)","武器克制组{weapon_counters,ints}(weak_weapon,array)","兵种克制组{arms_counters,ints}(weak_arms,array)","攻击次数{attack_times,int}(attack_times,number)","效果目标1{effect_1_targets, int}(target_1,number)","效果条件组1{effect_1_conditions, ints}(condition_1,array)","效果id组1{effects_1,ints}(buff_id_1,array)","效果触发点组1{effect_1_trigger_points,ints}(trigger_1,array)","效果生效点组1{effect_1_take_effects, ints}(execute_1,array)","持续类型组1(continue_1,array){continue_1,ints}","效果目标2{effect_2_targets, int}(target_2,number)","效果条件组2{effect_2_conditions, ints}(condition_2,array)","效果id组2{effects_2,ints}(buff_id_2,array)","效果触发点组2{effect_2_trigger_points,ints}(trigger_2,array)","效果生效点组2{effect_2_take_effects, ints}(execute_2,array)","持续类型组2(continue_2,array){continue_2,ints}","效果目标3{effect_3_targets, int}(target_3,number)","效果条件组3{effect_3_conditions, ints}(condition_3,array)","效果id组3{effects_3,ints}(buff_id_3,array)","效果触发点组3{effect_3_trigger_points,ints}(trigger_3,array)","效果生效点组3{effect_3_take_effects, ints}(execute_3,array)","持续类型组3(continue_3,array){continue_3,ints}","装备颜色&武器编码组{limit_weapons, ints}(career_limit,array)","装备兵种编码{limit_arms, ints}(arms_limit,array)",备注
21130045,古拉迪乌斯,受到敌人攻击时，可无视距离反击,21130003,0,,16,1,2,1,400,{},{},1,2,{22102001},{22213001},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21130046,雷伊普特,受到敌人攻击时，可无视距离反击,21130003,0,,16,1,2,1,400,{},{},1,2,{22102001},{22213001},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21120001,铁斧,,0,0,,6,1,3,1,50,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120002,钢斧,,21120001,0,,8,1,3,1,100,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120003,银斧,,21120002,0,,11,1,3,1,200,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120004,银斧+,,21120003,0,,15,1,3,1,300,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120005,勇者之斧,由自己发动攻击时，攻击2次,21120002,0,,5,1,3,1,200,{},{},1,2,{22101001},{22213101},{23},{23},{1},2,{},{22201414},{1},{1},{1},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120006,勇者之斧+,由自己发动攻击时，攻击2次,21120005,0,,8,1,3,1,300,{},{},1,2,{22101001},{22213101},{23},{23},{1},2,{},{22201414},{1},{1},{1},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120007,必杀斧,容易发动奥义（奥义计量-1）,21120002,0,,7,1,3,1,200,{},{},1,2,{},{22202001},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120008,必杀斧+,容易发动奥义（奥义计量-1）,21120007,0,,11,1,3,1,300,{},{},1,2,{},{22202001},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120009,必杀斧锻,容易发动奥义（奥义计量-1）,21120002,0,,10,1,3,1,200,{},{},1,2,{},{22202001},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120010,必杀斧锻+,容易发动奥义（奥义计量-1）,21120009,0,,14,1,3,1,300,{},{},1,2,{},{22202001},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120011,倭棍,发动奥义时，奥义造成伤害+10,21120002,0,,9,1,3,1,200,{},{},1,1,{},{22217013},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120012,倭棍+,发动奥义时，奥义造成伤害+10,21120011,0,,13,1,3,1,300,{},{},1,1,{},{22217013},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120013,战锤,克制重装,21120002,0,,8,1,3,1,200,{},{2},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120014,战锤+,克制重装,21120013,0,,12,1,3,1,300,{},{2},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120015,深绿之斧,三角互克有利，攻击再+20%，三角互克不利，攻击再-20%,21120002,0,,8,1,3,1,200,{},{},1,2,{},{22206003},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120016,深绿之斧+,三角互克有利，攻击再+20%，三角互克不利，攻击再-20%,21120015,0,,12,1,3,1,300,{},{},1,2,{},{22206003},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120017,长斧,克制骑兵,21120002,0,,10,1,3,1,200,{},{3},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120018,长斧+,克制骑兵,21120017,0,,14,1,3,1,300,{},{3},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120019,莉莉丝的浮排,周围两格内的我方，战斗中的攻击、速度+1,21120002,0,,10,1,3,1,200,{},{},1,48,{},"{22201301,22201401}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120020,莉莉丝的浮排+,周围两格内的我方，战斗中的攻击、速度+1,21120019,0,,14,1,3,1,300,{},{},1,48,{},"{22201301,22201401}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120021,羽子板,周围两格内的我方，战斗中的防守及魔防+2,21120002,0,,10,1,3,1,200,{},{},1,48,{},"{22201502,22201602}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120022,羽子板+,周围两格内的我方，战斗中的防守及魔防+2,21120021,0,,14,1,3,1,300,{},{},1,48,{},"{22201502,22201602}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120023,打西瓜的棍棒,若战斗开始时，自身HP为100%，攻击速度防守魔防+2，以此状态攻击时，战斗后自己受到2点伤害。,21120002,0,,10,1,3,1,200,{},{},1,2,{22110016},"{22201302,22201402,22201502,22201602,22219002}","{23,23,23,23,25}","{23,23,23,23}","{1,1,1,1,1}",2,{22110016},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120024,打西瓜的棍棒+,若战斗开始时，自身HP为100%，攻击速度防守魔防+2，以此状态攻击时，战斗后自己受到2点伤害。,21120023,0,,14,1,3,1,300,{},{},1,2,{22110016},"{22201302,22201402,22201502,22201602,22219002}","{23,23,23,23,25}","{23,23,23,23}","{1,1,1,1,1}",2,{22110016},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120025,巨大汤匙,发动奥义时，奥义造成伤害+10,21120002,0,,9,1,3,1,200,{},{},1,1,{},{22217013},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120026,巨大汤匙+,发动奥义时，奥义造成伤害+10,21120025,0,,9,1,3,1,300,{},{},1,1,{},{22217013},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120027,胡萝卜斧,由自己发动攻击时，战斗后回复4HP,21120002,0,,13,1,3,1,200,{},{},1,2,{22101001},{22201204},{25},{25},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120028,胡萝卜斧+,由自己发动攻击时，战斗后回复4HP,21120027,0,,13,1,3,1,300,{},{},1,2,{22101001},{22201204},{25},{25},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120029,罗罗之斧,若在战斗时进行攻击，战斗后，敌人的强化状态由+转-,21120002,0,,10,1,3,1,200,{},{},1,1,{},{22223301},{30},{25},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120030,罗罗之斧+,若在战斗时进行攻击，战斗后，敌人的强化状态由+转-,21120029,0,,14,1,3,1,300,{},{},1,1,{},{22223301},{30},{25},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120031,礼物袋,受到敌人攻击时，战斗中的攻击、速度、防守、魔防+2,21120002,0,,10,1,3,1,200,{},{},1,2,{22102001},"{22201302,22201402,22201502,22201602}","{23,23,23,23}","{23,23,23,23}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120032,礼物袋+,受到敌人攻击时，战斗中的攻击、速度、防守、魔防+2,21120031,0,,14,1,3,1,300,{},{},1,2,{22102001},"{22201302,22201402,22201502,22201602}","{23,23,23,23}","{23,23,23,23}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120033,手钟,受到敌人攻击时，战斗中的攻击、速度、防守、魔防+2,21120002,0,,10,1,3,1,200,{},{},1,2,{22102001},"{22201302,22201402,22201502,22201602}","{23,23,23,23}","{23,23,23,23}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120034,手钟+,受到敌人攻击时，战斗中的攻击、速度、防守、魔防+2,21120033,0,,14,1,3,1,300,{},{},1,2,{22102001},"{22201302,22201402,22201502,22201602}","{23,23,23,23}","{23,23,23,23}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120035,爱之蛋糕铲,回合开始时，若周围1格内有我方单位，则自己和周围1格内的我方单位攻击+4,21120002,0,,10,1,3,1,200,{},{},1,41,{22161001},{22201324},{4},{4},{2},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120036,爱之蛋糕铲+,回合开始时，若周围1格内有我方单位，则自己和周围1格内的我方单位攻击+4,21120035,0,,14,1,3,1,300,{},{},1,41,{22161001},{22201324},{4},{4},{2},0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120037,沙滩旗,由自己发动攻击时，战斗中的攻击、速度、防御、魔防+2,21120002,0,,10,1,3,1,200,{},{},1,2,{22101001},"{22201302,22201402,22201502,22201602}","{23,23,23,23}","{23,23,23,23}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120038,沙滩旗+,由自己发动攻击时，战斗中的攻击、速度、防御、魔防+2,21120037,0,,14,1,3,1,300,{},{},1,2,{22101001},"{22201302,22201402,22201502,22201602}","{23,23,23,23}","{23,23,23,23}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{9,10,11,12}","{1,2,3,4}",
21120039,奥特克雷勒,容易发动奥义（发动计量-1）,21120007,0,,16,1,3,1,400,{},{},1,2,{},{22202001},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21120040,瓦西里科斯,容易发动奥义（发动计量-1),21120007,0,,16,1,3,1,400,{},{},1,2,{},{22202001},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21120041,佣兵团的战斧,三角互克有利，攻击再+20%，三角互克不利，攻击再-20%,21120016,0,,16,1,3,1,400,{},{},1,2,{},{22206003},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21120042,狂斧阿尔马兹,容易发动奥义（发动计量-1）自身HP低于75%，且装备有在攻击时发动的奥义，回合开始时，奥义发动计量-1，发动奥义时奥义造成的伤害+10,21120007,0,,16,1,3,1,400,{},{},1,2,{},{22202001},{1},{1},{1},2,"{22110006,22108001}",{22202001},{4},{4},{1},1,"{22110006,22108001}",{22217013},{23},{27},{1},{999},"{1,2,3,4}",
21120043,天雷阿尔马兹,防守+3 周围2格内的我方的数量多于敌人时，（不包括自己与战斗对手）对方无法追击,21120003,0,,16,1,3,1,400,{},{},1,1,{22169002},{22212001},{23},{23},{1},2,{},{22201503},{1},{1},{1},0,{},{},{},{},{},{999},"{1,2,3,4}",
21120044,乌尔邦,奥义发动计量-1 受到连续攻击时，第二次攻击以及受到的伤害降低80%,21120007,0,,16,1,3,1,400,{},{},1,2,{},{22202001},{1},{1},{1},2,{22170001},{22218005},{23},{23},{1},0,{},{},{},{},{},{999},"{1,2,3,4}",
21120045,诺欧通,自身HP低于40%，移动至我方相邻格子。,21120003,0,,16,1,3,1,400,{},{},1,2,{22110003},{22229101},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21120046,乌尔德,使用【歌唱】、【起舞】时，指定目标的攻击、速度、防守、魔防+3,21120003,0,,16,1,3,1,400,{},{},1,1,{22109001},"{22201323,22201419,22201521,22201621}","{26,26,26,26}","{26,26,26,26}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21120047,钢斧托马霍克,受到敌人攻击时，可无视距离反击,21120003,0,,16,1,3,1,400,{},{},1,2,{22102001},{22213001},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21120048,阿尔马兹,自身HP高于80%，受到敌人攻击时，必定可进行追击。,21120003,0,,16,1,3,1,400,{},{},1,2,"{22110014,22102001}",{22210001},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21170001,火之吐息,,0,0,,6,1,7,1,50,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{25,26,27,28}","{1,2,3,4}",
21170002,火焰吐息,,21170001,0,,8,1,7,1,100,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{25,26,27,28}","{1,2,3,4}",
21170003,灼热吐息,,21170002,0,,11,1,7,1,200,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{25,26,27,28}","{1,2,3,4}",
21170004,灼热吐息+,,21170003,0,,15,1,7,1,300,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{25,26,27,28}","{1,2,3,4}",
21170005,光之吐息,由自己发动攻击时，战斗后，自己周围1格内我方的防守及魔防+4（1回合）,21170003,0,,9,1,7,1,200,{},{},1,47,{22101001},"{22201522,22201622}","{25,25}","{25,25}","{2,2}",0,{},{},{},{},{},0,{},{},{},{},{},"{25,26,27,28}","{1,2,3,4}",
21170006,光之吐息+,由自己发动攻击时，战斗后，自己周围1格内我方的防守及魔防+4（1回合）,21170005,0,,13,1,7,1,300,{},{},1,47,{22101001},"{22201522,22201622}","{25,25}","{25,25}","{2,2}",0,{},{},{},{},{},0,{},{},{},{},{},"{25,26,27,28}","{1,2,3,4}",
21170007,暗之吐息,由自己发动攻击时，战斗后，对方周围2格内的敌人攻击、速度-5,21170003,0,,9,1,7,1,200,{},{},1,44,{22101001},"{22201318,22201414}","{25,25}","{25,25}","{2,2}",0,{},{},{},{},{},0,{},{},{},{},{},"{25,26,27,28}","{1,2,3,4}",
21170008,暗之吐息+,由自己发动攻击时，战斗后，对方周围2格内的敌人攻击、速度-5,21170005,0,,13,1,7,1,300,{},{},1,44,{22101001},"{22201318,22201414}","{25,25}","{25,25}","{2,2}",0,{},{},{},{},{},0,{},{},{},{},{},"{25,26,27,28}","{1,2,3,4}",
21170009,雷之吐息,不容易发动奥义（发动计量+1）受到敌人攻击时，可无视距离反击。,21170003,0,,7,1,7,1,200,{},{},1,2,{},{22202002},{1},{1},{1},2,{22102001},{22213001},{23},{23},{1},0,{},{},{},{},{},"{25,26,27,28}","{1,2,3,4}",
21170010,雷之吐息+,不容易发动奥义（发动计量+1）受到敌人攻击时，可无视距离反击。,21170005,0,,11,1,7,1,300,{},{},1,2,{},{22202002},{1},{1},{1},2,{22102001},{22213001},{23},{23},{1},0,{},{},{},{},{},"{25,26,27,28}","{1,2,3,4}",
21170011,盛夏吐息,克制龙 防守+3 战斗中的奥义发动计量变化量+1（不可叠加）敌人武器射程为2时，以其防守及魔防中较低方计算伤害,21170003,0,,16,1,7,1,400,{7},{},1,1,{},{22204001},{23},{23},{1},1,"{22155001,22156001,22157001,22158001,22159001,22160001}",{22220202},{23},{23},{1},2,{},{22201503},{1},{1},{1},{999},"{1,2,3,4}",
21170012,神炎吐息,攻击+3 自己的防守高出敌人5以上时，则对方无法追击 敌人武器射程为2时，以其防守及魔防中较低方计算伤害,21170003,0,,16,1,7,1,400,{},{},1,1,{22130001},{22212001},{23},{23},{1},1,"{22155001,22156001,22157001,22158001,22159001,22160001}",{22220202},{23},{23},{1},2,{},{22201303},{1},{1},{1},{999},"{1,2,3,4}",
21170013,雾之吐息,克制龙 每2回合回复10HP 敌人武器射程为2时，以其防守及魔防中较低方计算伤害,21170004,21170010,,16,1,7,1,400,{7},{},1,1,{},{22201210},{16},{4},{1},1,"{22155001,22156001,22157001,22158001,22159001,22160001}",{22220202},{23},{23},{1},0,{},{},{},{},{},{999},"{1,2,3,4}",
21170014,邪龙吐息,受到敌人攻击时，可无视距离反击 敌人武器射程为2格时，以其防御中较低方计算伤害。,21170003,0,,16,1,7,1,400,{},{},1,2,{22102001},{22213001},{23},{23},{1},1,"{22155001,22156001,22157001,22158001,22159001,22160001}",{22220202},{23},{23},{1},0,{},{},{},{},{},{999},"{1,2,3,4}",
21160001,火焰,,0,0,,4,2,6,1,50,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160002,狂焰,,21160001,0,,6,2,6,1,100,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160003,火山爆焰,,21160002,0,,9,2,6,1,200,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160004,火山爆焰+,,21160003,0,,13,2,6,1,300,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160005,流动,,0,0,,4,2,6,1,50,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160006,破灭,,21160005,0,,6,2,6,1,100,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160007,地狱之炎,,21160006,0,,9,2,6,1,200,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160008,地狱之炎+,,21160007,0,,13,2,6,1,300,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160009,赤红之刃,不容易发动奥义（发动计量+1）将自己身上的强化状态合计值计入攻击,21160006,0,,9,2,6,1,200,{},{},1,2,{},{22202002},{1},{1},{1},2,{},{22201310},{23},{23},{1},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160010,赤红之刃+,不容易发动奥义（发动计量+1）将自己身上的强化状态合计值计入攻击,21160009,0,,13,2,6,1,300,{},{},1,2,{},{22202002},{1},{1},{1},2,{},{22201310},{23},{23},{1},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160011,赤红饿狼,克制骑兵,21160006,0,,6,2,6,1,200,{},{3},1,1,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160012,赤红饿狼+,克制骑兵,21160011,0,,10,2,6,1,300,{},{3},1,1,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160013,赤红渡鸦,和无属性的敌人战斗时，自己在三角互克中占优势，敌人居劣势。,21160006,0,,7,2,6,1,200,"{4,8,12,16,20,24,28,32}",{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160014,赤红渡鸦+,和无属性的敌人战斗时，自己在三角互克中占优势，敌人居劣势。,21160013,0,,11,2,6,1,300,"{4,8,12,16,20,24,28,32}",{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160015,赤红夜枭,战斗中的攻击、速度、防守、魔防提升（提升数值为紧邻自己的我方人数×2）,21160006,0,,6,2,6,1,200,{},{},1,2,{},"{22201308,22201408,22201508,22201608}","{23,23,23,23}","{23,23,23,23}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160016,赤红夜枭+,战斗中的攻击、速度、防守、魔防提升（提升数值为紧邻自己的我方人数×2）,21160015,0,,10,2,6,1,300,{},{},1,2,{},"{22201308,22201408,22201508,22201608}","{23,23,23,23}","{23,23,23,23}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160017,番茄之书,周围2格内的我方，战斗中的攻击及速度+1,21160006,0,,8,2,6,1,200,{},{},1,48,{},"{22201301,22201401}",{23},{23},"{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160018,番茄之书+,周围2格内的我方，战斗中的攻击及速度+1,21160017,0,,12,2,6,1,300,{},{},1,48,{},"{22201301,22201401}",{23},{23},"{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160019,烛台,受到敌人攻击时，战斗中的攻击、速度、防守、魔防+2,21160006,0,,8,2,6,1,200,{},{},1,2,{22102001},"{22201302,22201402,22201502,22201602}","{23,23,23,23}","{23,23,23,23}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160020,烛台+,受到敌人攻击时，战斗中的攻击、速度、防守、魔防+2,21160019,0,,12,2,6,1,300,{},{},1,2,{22102001},"{22201302,22201402,22201502,22201602}","{23,23,23,23}","{23,23,23,23}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},{21},"{1,2,3,4}",
21160021,穆斯贝尔的炎花,速度+3 战斗中的攻击及速度提升（提升数值为：周围2格内的我方人数×2）（最大值+6）,21160003,0,,14,2,6,1,400,{},{},1,2,{},"{22201309,22201409}","{23,23}","{23,23}","{1,1}",0,{},{22201403},{1},{1},{1},0,{},{},{},{},{},{999},"{1,2,3,4}",
21160022,伊登的果实,速度+3 自身HP高于50%，周围2格内的我方单位，可移动至自己相邻的格子,21160003,0,,14,2,6,1,400,{},{},1,48,{22110011},{22229201},{32},{32},{1},2,{},{22201403},{1},{1},{1},0,{},{},{},{},{},{999},"{1,2,3,4}",
21160023,纳吉尔法,和无属性的敌人战斗时，自己在三角互克中占优势，敌人居劣势。,21160003,0,,14,2,6,1,400,"{4,8,12,16,20,24,28,32}",{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21160024,法拉之炎,回合开始时，位于十字方向上、魔防低于自己的敌人攻击及魔防-4,21160003,0,,14,2,6,1,400,{},{},1,55,{22131003},"{22201317,22201612}","{4,4}","{4,4}","{2,2}",0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21160025,魔法书,自身HP高于50%，可移动至周围2之内我方的相邻格子,21160003,0,,14,2,6,1,400,{},{},1,48,{22110011},{22229201},{32},{32},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21160026,末世烈焰,若战斗开始时，自身HP为100%，攻击及速度+5，以此状态攻击时，战斗后自己受到5点伤害。,21160003,0,,14,2,6,1,400,{},{},1,2,{22110016},"{22201305,22201405,22219005}","{23,23,25}","{23,23,25}","{1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21160027,格莱普尼尔,魔防+3在敌人HP为100%的状态下展开战斗时，自己在战斗中的攻击及速度+3,21160003,0,,14,2,6,1,400,{},{},1,2,{22118001},"{22201303,22201403}","{23,23}","{23,23}","{1,1}",2,{},{22201603},{1},{1},{1},0,{},{},{},{},{},{999},"{1,2,3,4}",
21160028,魔书津利,防守+3若在战斗时进行攻击，战斗后，对方与其周围2格内的敌人攻击及速度-5,21160003,0,,14,2,6,1,400,{},{},1,44,{},"{22201318,22201414}","{30,30}","{25,25}","{2,2}",2,{},{22201503},{1},{1},{1},0,{},{},{},{},{},{999},"{1,2,3,4}",
21160029,布伦希尔德,由自己发动攻击时，战斗后将敌人移动范围限为最大1格,21160003,0,,14,2,6,1,400,{},{},1,1,{22101001},{22227101},{25},{25},{2},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21160030,辛白林,由自己发动攻击时，战斗后，自己周围1格内我方的攻击+4,21160003,0,,14,2,6,1,400,{},{},1,47,{22101001},{22201324},{25},{25},{2},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21160031,弗鲁布雷兹,回合开始时，敌军内魔防最高的敌人魔防-7,21160004,0,,14,2,6,1,400,{},{},1,12,{},{22201615},{4},{4},{2},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21160032,雷电,,0,0,,4,2,6,1,50,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{23},"{1,2,3,4}",
21160033,狂雷,,21160032,0,,6,2,6,1,100,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{23},"{1,2,3,4}",
21160034,托隆,,21160033,0,,9,2,6,1,200,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{23},"{1,2,3,4}",
21160035,托隆+,,21160034,0,,13,2,6,1,300,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{23},"{1,2,3,4}",
21160036,光辉,,0,0,,4,2,6,1,50,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{23},"{1,2,3,4}",
21160037,狂光,,21160036,0,,6,2,6,1,100,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{23},"{1,2,3,4}",
21160038,闪光,,21160037,0,,9,2,6,1,200,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{23},"{1,2,3,4}",
21160039,闪光+,,21160038,0,,13,2,6,1,300,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{23},"{1,2,3,4}",
21160040,苍蓝之刃,不容易发动奥义（发动计量+1） 将自己身上的强化状态合计值计入攻击,21160037,0,,9,2,6,1,200,{},{},1,2,{},{},{1},{1},{},2,{},{22201310},{23},{23},{1},0,{},{},{},{},{},{23},"{1,2,3,4}",
