"ID{id,int}(idx)","装备CID{equipCid,int}(num,equipCid)","装备星级{star,int}(num,star)","属性类型{attType,ints}(fun,attType)","属性值{value,ints}(fun,attVal)","计算类型{calType,ints}(fun,calType)","升级到下一星级消耗{costs,json_funcs}(json,costs)",
56700295,56510050,0,"{3,5}","{0,0}","{1,1}",,
56700296,56510050,1,"{3,5}","{266,284}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700297,56510050,2,"{3,5}","{532,568}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700298,56510050,3,"{3,5}","{798,852}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700299,56510050,4,"{3,5}","{1064,1136}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700300,56510050,5,"{3,5}","{1330,1420}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700301,56520001,0,"{5,2}","{0,0}","{1,1}",,
56700302,56520001,1,"{5,2}","{658,40}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700303,56520001,2,"{5,2}","{1316,80}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700304,56520001,3,"{5,2}","{1974,120}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700305,56520001,4,"{5,2}","{2632,160}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700306,56520001,5,"{5,2}","{3290,200}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700307,56520002,0,"{5,2}","{0,0}","{1,1}",,
56700308,56520002,1,"{5,2}","{666,40}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700309,56520002,2,"{5,2}","{1332,80}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700310,56520002,3,"{5,2}","{1998,120}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700311,56520002,4,"{5,2}","{2664,160}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700312,56520002,5,"{5,2}","{3330,200}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700313,56520003,0,"{5,2}","{0,0}","{1,1}",,
56700314,56520003,1,"{5,2}","{666,40}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700315,56520003,2,"{5,2}","{1332,80}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700316,56520003,3,"{5,2}","{1998,120}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700317,56520003,4,"{5,2}","{2664,160}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700318,56520003,5,"{5,2}","{3330,200}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700319,56520004,0,"{5,2}","{0,0}","{1,1}",,
56700320,56520004,1,"{5,2}","{672,40}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700321,56520004,2,"{5,2}","{1344,80}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700322,56520004,3,"{5,2}","{2016,120}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700323,56520004,4,"{5,2}","{2688,160}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700324,56520004,5,"{5,2}","{3360,200}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700325,56520005,0,"{5,2}","{0,0}","{1,1}",,
56700326,56520005,1,"{5,2}","{686,32}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700327,56520005,2,"{5,2}","{1372,64}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700328,56520005,3,"{5,2}","{2058,96}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700329,56520005,4,"{5,2}","{2744,128}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700330,56520005,5,"{5,2}","{3430,160}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700331,56520006,0,"{5,2}","{0,0}","{1,1}",,
56700332,56520006,1,"{5,2}","{678,32}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700333,56520006,2,"{5,2}","{1356,64}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700334,56520006,3,"{5,2}","{2034,96}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700335,56520006,4,"{5,2}","{2712,128}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700336,56520006,5,"{5,2}","{3390,160}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700337,56520007,0,"{5,2}","{0,0}","{1,1}",,
56700338,56520007,1,"{5,2}","{998,60}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700339,56520007,2,"{5,2}","{1996,120}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700340,56520007,3,"{5,2}","{2994,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700341,56520007,4,"{5,2}","{3992,240}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700342,56520007,5,"{5,2}","{4990,300}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700343,56520008,0,"{5,2}","{0,0}","{1,1}",,
56700344,56520008,1,"{5,2}","{1008,60}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700345,56520008,2,"{5,2}","{2016,120}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700346,56520008,3,"{5,2}","{3024,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700347,56520008,4,"{5,2}","{4032,240}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700348,56520008,5,"{5,2}","{5040,300}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700349,56520009,0,"{5,2}","{0,0}","{1,1}",,
56700350,56520009,1,"{5,2}","{832,40}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700351,56520009,2,"{5,2}","{1664,80}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700352,56520009,3,"{5,2}","{2496,120}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700353,56520009,4,"{5,2}","{3328,160}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700354,56520009,5,"{5,2}","{4160,200}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700355,56520010,0,"{5,2}","{0,0}","{1,1}",,
56700356,56520010,1,"{5,2}","{848,42}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700357,56520010,2,"{5,2}","{1696,84}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700358,56520010,3,"{5,2}","{2544,126}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700359,56520010,4,"{5,2}","{3392,168}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700360,56520010,5,"{5,2}","{4240,210}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700361,56520011,0,"{5,2}","{0,0}","{1,1}",,
56700362,56520011,1,"{5,2}","{652,38}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700363,56520011,2,"{5,2}","{1304,76}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700364,56520011,3,"{5,2}","{1956,114}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700365,56520011,4,"{5,2}","{2608,152}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700366,56520011,5,"{5,2}","{3260,190}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700367,56520012,0,"{5,2}","{0,0}","{1,1}",,
56700368,56520012,1,"{5,2}","{638,38}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700369,56520012,2,"{5,2}","{1276,76}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700370,56520012,3,"{5,2}","{1914,114}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700371,56520012,4,"{5,2}","{2552,152}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700372,56520012,5,"{5,2}","{3190,190}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700373,56520013,0,"{5,2}","{0,0}","{1,1}",,
56700374,56520013,1,"{5,2}","{646,38}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700375,56520013,2,"{5,2}","{1292,76}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700376,56520013,3,"{5,2}","{1938,114}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700377,56520013,4,"{5,2}","{2584,152}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700378,56520013,5,"{5,2}","{3230,190}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700379,56520014,0,"{5,2}","{0,0}","{1,1}",,
56700380,56520014,1,"{5,2}","{646,40}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700381,56520014,2,"{5,2}","{1292,80}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700382,56520014,3,"{5,2}","{1938,120}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700383,56520014,4,"{5,2}","{2584,160}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700384,56520014,5,"{5,2}","{3230,200}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700385,56520015,0,"{5,2}","{0,0}","{1,1}",,
56700386,56520015,1,"{5,2}","{646,30}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700387,56520015,2,"{5,2}","{1292,60}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700388,56520015,3,"{5,2}","{1938,90}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700389,56520015,4,"{5,2}","{2584,120}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700390,56520015,5,"{5,2}","{3230,150}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700391,56520016,0,"{5,2}","{0,0}","{1,1}",,
56700392,56520016,1,"{5,2}","{646,30}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700393,56520016,2,"{5,2}","{1292,60}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700394,56520016,3,"{5,2}","{1938,90}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700395,56520016,4,"{5,2}","{2584,120}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700396,56520016,5,"{5,2}","{3230,150}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700397,56520017,0,"{5,2}","{0,0}","{1,1}",,
56700398,56520017,1,"{5,2}","{948,58}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700399,56520017,2,"{5,2}","{1896,116}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700400,56520017,3,"{5,2}","{2844,174}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700401,56520017,4,"{5,2}","{3792,232}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700402,56520017,5,"{5,2}","{4740,290}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700403,56520018,0,"{5,2}","{0,0}","{1,1}",,
56700404,56520018,1,"{5,2}","{938,58}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700405,56520018,2,"{5,2}","{1876,116}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700406,56520018,3,"{5,2}","{2814,174}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700407,56520018,4,"{5,2}","{3752,232}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700408,56520018,5,"{5,2}","{4690,290}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700409,56520019,0,"{5,2}","{0,0}","{1,1}",,
56700410,56520019,1,"{5,2}","{790,38}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700411,56520019,2,"{5,2}","{1580,76}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700412,56520019,3,"{5,2}","{2370,114}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700413,56520019,4,"{5,2}","{3160,152}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700414,56520019,5,"{5,2}","{3950,190}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700415,56520020,0,"{5,2}","{0,0}","{1,1}",,
56700416,56520020,1,"{5,2}","{806,38}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700417,56520020,2,"{5,2}","{1612,76}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700418,56520020,3,"{5,2}","{2418,114}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700419,56520020,4,"{5,2}","{3224,152}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700420,56520020,5,"{5,2}","{4030,190}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700421,56520021,0,"{5,2}","{0,0}","{1,1}",,
56700422,56520021,1,"{5,2}","{604,36}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700423,56520021,2,"{5,2}","{1208,72}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700424,56520021,3,"{5,2}","{1812,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700425,56520021,4,"{5,2}","{2416,144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700426,56520021,5,"{5,2}","{3020,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700427,56520022,0,"{5,2}","{0,0}","{1,1}",,
56700428,56520022,1,"{5,2}","{594,36}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700429,56520022,2,"{5,2}","{1188,72}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700430,56520022,3,"{5,2}","{1782,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700431,56520022,4,"{5,2}","{2376,144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700432,56520022,5,"{5,2}","{2970,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700433,56520023,0,"{5,2}","{0,0}","{1,1}",,
56700434,56520023,1,"{5,2}","{616,36}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700435,56520023,2,"{5,2}","{1232,72}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700436,56520023,3,"{5,2}","{1848,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700437,56520023,4,"{5,2}","{2464,144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700438,56520023,5,"{5,2}","{3080,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700439,56520024,0,"{5,2}","{0,0}","{1,1}",,
56700440,56520024,1,"{5,2}","{610,36}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700441,56520024,2,"{5,2}","{1220,72}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700442,56520024,3,"{5,2}","{1830,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700443,56520024,4,"{5,2}","{2440,144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700444,56520024,5,"{5,2}","{3050,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700445,56520025,0,"{5,2}","{0,0}","{1,1}",,
56700446,56520025,1,"{5,2}","{594,28}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700447,56520025,2,"{5,2}","{1188,56}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700448,56520025,3,"{5,2}","{1782,84}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700449,56520025,4,"{5,2}","{2376,112}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700450,56520025,5,"{5,2}","{2970,140}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700451,56520026,0,"{5,2}","{0,0}","{1,1}",,
56700452,56520026,1,"{5,2}","{598,30}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700453,56520026,2,"{5,2}","{1196,60}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700454,56520026,3,"{5,2}","{1794,90}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700455,56520026,4,"{5,2}","{2392,120}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700456,56520026,5,"{5,2}","{2990,150}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700457,56520027,0,"{5,2}","{0,0}","{1,1}",,
56700458,56520027,1,"{5,2}","{898,54}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700459,56520027,2,"{5,2}","{1796,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700460,56520027,3,"{5,2}","{2694,162}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700461,56520027,4,"{5,2}","{3592,216}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700462,56520027,5,"{5,2}","{4490,270}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700463,56520028,0,"{5,2}","{0,0}","{1,1}",,
56700464,56520028,1,"{5,2}","{916,56}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700465,56520028,2,"{5,2}","{1832,112}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700466,56520028,3,"{5,2}","{2748,168}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700467,56520028,4,"{5,2}","{3664,224}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700468,56520028,5,"{5,2}","{4580,280}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700469,56520029,0,"{5,2}","{0,0}","{1,1}",,
56700470,56520029,1,"{5,2}","{756,36}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700471,56520029,2,"{5,2}","{1512,72}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700472,56520029,3,"{5,2}","{2268,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700473,56520029,4,"{5,2}","{3024,144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700474,56520029,5,"{5,2}","{3780,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700475,56520030,0,"{5,2}","{0,0}","{1,1}",,
56700476,56520030,1,"{5,2}","{748,36}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700477,56520030,2,"{5,2}","{1496,72}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700478,56520030,3,"{5,2}","{2244,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700479,56520030,4,"{5,2}","{2992,144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700480,56520030,5,"{5,2}","{3740,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700481,56520031,0,"{5,2}","{0,0}","{1,1}",,
56700482,56520031,1,"{5,2}","{586,36}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700483,56520031,2,"{5,2}","{1172,72}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700484,56520031,3,"{5,2}","{1758,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700485,56520031,4,"{5,2}","{2344,144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700486,56520031,5,"{5,2}","{2930,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700487,56520032,0,"{5,2}","{0,0}","{1,1}",,
56700488,56520032,1,"{5,2}","{592,36}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700489,56520032,2,"{5,2}","{1184,72}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700490,56520032,3,"{5,2}","{1776,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700491,56520032,4,"{5,2}","{2368,144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700492,56520032,5,"{5,2}","{2960,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700493,56520033,0,"{5,2}","{0,0}","{1,1}",,
56700494,56520033,1,"{5,2}","{586,36}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700495,56520033,2,"{5,2}","{1172,72}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700496,56520033,3,"{5,2}","{1758,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700497,56520033,4,"{5,2}","{2344,144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700498,56520033,5,"{5,2}","{2930,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700499,56520034,0,"{5,2}","{0,0}","{1,1}",,
56700500,56520034,1,"{5,2}","{610,36}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700501,56520034,2,"{5,2}","{1220,72}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700502,56520034,3,"{5,2}","{1830,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700503,56520034,4,"{5,2}","{2440,144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700504,56520034,5,"{5,2}","{3050,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700505,56520035,0,"{5,2}","{0,0}","{1,1}",,
56700506,56520035,1,"{5,2}","{592,30}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700507,56520035,2,"{5,2}","{1184,60}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700508,56520035,3,"{5,2}","{1776,90}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700509,56520035,4,"{5,2}","{2368,120}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700510,56520035,5,"{5,2}","{2960,150}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700511,56520036,0,"{5,2}","{0,0}","{1,1}",,
56700512,56520036,1,"{5,2}","{592,30}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700513,56520036,2,"{5,2}","{1184,60}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700514,56520036,3,"{5,2}","{1776,90}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700515,56520036,4,"{5,2}","{2368,120}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700516,56520036,5,"{5,2}","{2960,150}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700517,56520037,0,"{5,2}","{0,0}","{1,1}",,
56700518,56520037,1,"{5,2}","{906,54}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700519,56520037,2,"{5,2}","{1812,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700520,56520037,3,"{5,2}","{2718,162}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700521,56520037,4,"{5,2}","{3624,216}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700522,56520037,5,"{5,2}","{4530,270}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700523,56520038,0,"{5,2}","{0,0}","{1,1}",,
56700524,56520038,1,"{5,2}","{880,54}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700525,56520038,2,"{5,2}","{1760,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700526,56520038,3,"{5,2}","{2640,162}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700527,56520038,4,"{5,2}","{3520,216}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700528,56520038,5,"{5,2}","{4400,270}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700529,56520039,0,"{5,2}","{0,0}","{1,1}",,
56700530,56520039,1,"{5,2}","{762,36}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700531,56520039,2,"{5,2}","{1524,72}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700532,56520039,3,"{5,2}","{2286,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700533,56520039,4,"{5,2}","{3048,144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700534,56520039,5,"{5,2}","{3810,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700535,56520040,0,"{5,2}","{0,0}","{1,1}",,
56700536,56520040,1,"{5,2}","{740,36}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700537,56520040,2,"{5,2}","{1480,72}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700538,56520040,3,"{5,2}","{2220,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700539,56520040,4,"{5,2}","{2960,144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700540,56520040,5,"{5,2}","{3700,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700541,56520041,0,"{5,2}","{0,0}","{1,1}",,
56700542,56520041,1,"{5,2}","{598,36}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700543,56520041,2,"{5,2}","{1196,72}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700544,56520041,3,"{5,2}","{1794,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700545,56520041,4,"{5,2}","{2392,144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700546,56520041,5,"{5,2}","{2990,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700547,56520042,0,"{5,2}","{0,0}","{1,1}",,
56700548,56520042,1,"{5,2}","{592,36}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700549,56520042,2,"{5,2}","{1184,72}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700550,56520042,3,"{5,2}","{1776,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700551,56520042,4,"{5,2}","{2368,144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700552,56520042,5,"{5,2}","{2960,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700553,56520043,0,"{5,2}","{0,0}","{1,1}",,
56700554,56520043,1,"{5,2}","{598,28}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700555,56520043,2,"{5,2}","{1196,56}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700556,56520043,3,"{5,2}","{1794,84}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700557,56520043,4,"{5,2}","{2392,112}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700558,56520043,5,"{5,2}","{2990,140}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700559,56520044,0,"{5,2}","{0,0}","{1,1}",,
56700560,56520044,1,"{5,2}","{878,52}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700561,56520044,2,"{5,2}","{1756,104}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700562,56520044,3,"{5,2}","{2634,156}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700563,56520044,4,"{5,2}","{3512,208}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700564,56520044,5,"{5,2}","{4390,260}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700565,56520045,0,"{5,2}","{0,0}","{1,1}",,
56700566,56520045,1,"{5,2}","{732,36}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700567,56520045,2,"{5,2}","{1464,72}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700568,56520045,3,"{5,2}","{2196,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700569,56520045,4,"{5,2}","{2928,144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700570,56520045,5,"{5,2}","{3660,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700571,56520046,0,"{5,2}","{0,0}","{1,1}",,
56700572,56520046,1,"{5,2}","{590,36}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700573,56520046,2,"{5,2}","{1180,72}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700574,56520046,3,"{5,2}","{1770,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700575,56520046,4,"{5,2}","{2360,144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700576,56520046,5,"{5,2}","{2950,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700577,56520047,0,"{5,2}","{0,0}","{1,1}",,
56700578,56520047,1,"{5,2}","{578,36}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700579,56520047,2,"{5,2}","{1156,72}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700580,56520047,3,"{5,2}","{1734,108}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700581,56520047,4,"{5,2}","{2312,144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700582,56520047,5,"{5,2}","{2890,180}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700583,56520048,0,"{5,2}","{0,0}","{1,1}",,
56700584,56520048,1,"{5,2}","{572,28}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700585,56520048,2,"{5,2}","{1144,56}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700586,56520048,3,"{5,2}","{1716,84}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700587,56520048,4,"{5,2}","{2288,112}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700588,56520048,5,"{5,2}","{2860,140}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700589,56520049,0,"{5,2}","{0,0}","{1,1}",,
56700590,56520049,1,"{5,2}","{894,52}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700591,56520049,2,"{5,2}","{1788,104}","{1,1}","[{type:4,param:80400001,value:-100}]",
